mixbench/alternating (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              GeForce GTX TITAN X
CUDA driver version: 7.50
GPU clock rate:      1076 MHz
Memory clock rate:   1752 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    12287 MB
ECC enabled:         No
Compute Capability:  5.2
Total SPs:           3072 (24 MPs x 128 SPs/MP)
Compute throughput:  6610.94 GFlops (theoretical single precision FMAs)
Memory bandwidth:    336.48 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12884705280, free 12004503552
Buffer size: 64MB
Trade-off type:compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,     0.000,   46.61,    0.00, 184.30,      0.000,   86.15,    0.00, 199.42,     0.000,   46.61,    0.00, 184.30
            1,     0.129,   46.76,   22.96, 177.96,      0.065,   84.00,   12.78, 198.13,     0.129,   48.35,   22.21, 172.12
            2,     0.267,   47.55,   45.16, 169.35,      0.133,   84.63,   25.37, 190.31,     0.267,   46.27,   46.41, 174.05
            3,     0.414,   44.86,   71.80, 173.52,      0.207,   82.82,   38.89, 187.99,     0.414,   46.23,   69.67, 168.37
            4,     0.571,   44.17,   97.24, 170.16,      0.286,   78.85,   54.47, 190.66,     0.571,   44.07,   97.47, 170.57
            5,     0.741,   41.69,  128.77, 173.84,      0.370,   75.38,   71.22, 192.30,     0.741,   40.27,  133.31, 179.97
            6,     0.923,   37.97,  169.66, 183.80,      0.462,   75.04,   85.85, 186.01,     0.923,   39.38,  163.59, 177.22
            7,     1.120,   38.05,  197.56, 176.39,      0.560,   71.28,  105.45, 188.30,     1.120,   36.64,  205.12, 183.15
            8,     1.333,   36.20,  237.27, 177.95,      0.667,   72.61,  118.31, 177.46,     1.333,   34.41,  249.65, 187.24
            9,     1.565,   33.04,  292.51, 186.88,      0.783,   70.06,  137.93, 176.24,     1.565,   34.33,  281.46, 179.82
           10,     1.818,   34.97,  307.06, 168.88,      0.909,   73.87,  145.36, 159.90,     1.818,   32.63,  329.08, 180.99
           11,     2.095,   31.32,  377.11, 179.98,      1.048,   73.18,  161.39, 154.06,     2.095,   34.74,  339.98, 162.26
           12,     2.400,   32.34,  398.40, 166.00,      1.200,   76.16,  169.18, 140.98,     2.400,   29.13,  442.29, 184.29
           13,     2.737,   27.61,  505.59, 184.74,      1.368,   81.13,  172.06, 125.74,     2.737,   28.99,  481.55, 175.95
           14,     3.111,   27.53,  546.07, 175.52,      1.556,   85.96,  174.88, 112.42,     3.111,   26.71,  562.89, 180.93
           15,     3.529,   27.82,  579.03, 164.06,      1.765,   91.02,  176.95, 100.27,     3.529,   27.09,  594.57, 168.46
           16,     4.000,   32.88,  522.46, 130.61,      2.000,   96.58,  177.88,  88.94,     4.000,   31.25,  549.78, 137.44
           17,     4.533,   30.63,  596.01, 131.47,      2.267,  103.28,  176.74,  77.97,     4.533,   29.69,  614.74, 135.61
           18,     5.143,   28.98,  666.92, 129.68,      2.571,  111.42,  173.46,  67.46,     5.143,   28.62,  675.30, 131.31
           19,     5.846,   27.44,  743.48, 127.17,      2.923,  118.14,  172.69,  59.08,     5.846,   28.45,  717.08, 122.66
           20,     6.667,   24.25,  885.56, 132.83,      3.333,  121.28,  177.06,  53.12,     6.667,   25.41,  845.27, 126.79
           21,     7.636,   23.24,  970.08, 127.03,      3.818,  128.14,  175.96,  46.09,     7.636,   25.98,  868.00, 113.67
           22,     8.800,   24.34,  970.67, 110.30,      4.400,  131.93,  179.05,  40.69,     8.800,   24.54,  962.71, 109.40
           23,    10.222,   22.01, 1121.90, 109.75,      5.111,  138.61,  178.17,  34.86,    10.222,   26.91,  917.59,  89.76
           24,    12.000,   22.32, 1154.36,  96.20,      6.000,  135.45,  190.26,  31.71,    12.000,   25.36, 1016.15,  84.68
           25,    14.286,   22.40, 1198.32,  83.88,      7.143,  142.25,  188.71,  26.42,    14.286,   27.01,  993.67,  69.56
           26,    17.333,   17.53, 1592.29,  91.86,      8.667,  151.45,  184.33,  21.27,    17.333,   28.18,  990.65,  57.15
           27,    21.600,   13.96, 2077.25,  96.17,     10.800,  155.72,  186.17,  17.24,    21.600,   28.85, 1004.99,  46.53
           28,    28.000,   13.91, 2160.89,  77.17,     14.000,  157.55,  190.83,  13.63,    28.000,   27.36, 1098.78,  39.24
           29,    38.667,   13.09, 2378.18,  61.50,     19.333,  160.61,  193.88,  10.03,    38.667,   29.56, 1053.38,  27.24
           30,    60.000,   14.52, 2218.01,  36.97,     30.000,  164.94,  195.30,   6.51,    60.000,   32.37,  995.22,  16.59
           31,   124.000,   12.94, 2572.25,  20.74,     62.000,  170.40,  195.33,   3.15,   124.000,   31.76, 1048.10,   8.45
           32,       inf,   14.36, 2393.32,   0.00,        inf,  178.50,  192.49,   0.00,       inf,   32.77, 1048.62,   0.00
------------------------------------------------------------------------------------------------------------------------------
