mixbench (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 660
CUDA driver version: 7.50
GPU clock rate:      1097 MHz
Memory clock rate:   1502 MHz
Memory bus width:    192 bits
WarpSize:            32
L2 cache size:       384 KB
Total global mem:    2042 MB
ECC enabled:         No
Compute Capability:  3.0
Total SPs:           960 (5 MPs x 192 SPs/MP)
Compute throughput:  2107.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    144.19 GB/sec
-----------------------------------------------------------------------
Total GPU memory 2141913088, free 2088644608
Buffer size: 256MB
Trade-off type:compute with global memory (grid strided)
----------------------------------------- EXCEL data -----------------------------------------
Operations ratio,  Single Precision ops,,,   Double precision ops,,,     Integer operations,, 
  compute/memory,    Time,  GFLOPS, GB/sec,    Time,  GFLOPS, GB/sec,    Time,   GIOPS, GB/sec
       0/32,       370.47,    0.00,  92.75,  683.82,    0.00, 100.49,  371.79,    0.00,  92.42
       1/31,       360.87,    5.95,  92.24,  664.32,    3.23, 100.21,  361.36,    5.94,  92.11
       2/30,       348.04,   12.34,  92.55,  641.25,    6.70, 100.47,  347.99,   12.34,  92.57
       3/29,       337.07,   19.11,  92.38,  620.28,   10.39, 100.40,  337.14,   19.11,  92.36
       4/28,       323.56,   26.55,  92.92,  597.17,   14.38, 100.69,  323.73,   26.53,  92.87
       5/27,       312.40,   34.37,  92.80,  575.79,   18.65, 100.70,  312.72,   34.34,  92.71
       6/26,       298.61,   43.15,  93.49,  552.92,   23.30, 100.98,  298.50,   43.17,  93.53
       7/25,       288.11,   52.18,  93.17,  531.68,   28.27, 100.98,  288.11,   52.18,  93.17
       8/24,       273.66,   62.78,  94.17,  508.81,   33.76, 101.29,  273.04,   62.92,  94.38
       9/23,       261.34,   73.96,  94.50,  487.18,   39.67, 101.38,  261.59,   73.88,  94.41
      10/22,       246.87,   86.99,  95.69,  463.11,   46.37, 102.02,  247.09,   86.91,  95.60
      11/21,       235.30,  100.39,  95.83,  440.59,   53.62, 102.36,  235.74,  100.21,  95.65
      12/20,       220.68,  116.78,  97.31,  416.32,   61.90, 103.17,  220.09,  117.09,  97.57
      13/19,       208.93,  133.62,  97.64,  393.29,   70.98, 103.75,  208.31,  134.02,  97.94
      14/18,       193.74,  155.18,  99.76,  356.68,   84.29, 108.37,  192.32,  156.33, 100.50
      15/17,       181.09,  177.88, 100.80,  380.44,   84.67,  95.96,  178.14,  180.82, 102.47
      16/16,       186.20,  184.53,  92.27,  405.87,   84.66,  84.66,  186.30,  184.44,  92.22
      17/15,       168.47,  216.69,  95.60,  427.47,   85.40,  75.36,  168.45,  216.73,  95.62
      18/14,       161.82,  238.87,  92.89,  451.44,   85.63,  66.60,  161.71,  239.04,  92.96
      19/13,       143.76,  283.82,  97.10,  473.22,   86.22,  58.99,  143.46,  284.42,  97.30
      20/12,       136.64,  314.34,  94.30,  495.33,   86.71,  52.03,  145.85,  294.48,  88.35
      21/11,       121.62,  370.82,  97.12,  518.17,   87.03,  45.59,  146.31,  308.22,  80.72
      22/10,       116.05,  407.10,  92.52,  544.46,   86.77,  39.44,  150.61,  313.68,  71.29
      23/ 9,        96.98,  509.30,  99.65,  567.36,   87.06,  34.07,  156.09,  316.43,  61.91
      24/ 8,        93.03,  553.99,  92.33,  590.30,   87.31,  29.10,  162.82,  316.55,  52.76
      25/ 7,        73.93,  726.17, 101.66,  616.39,   87.10,  24.39,  168.86,  317.94,  44.51
      26/ 6,        69.72,  800.90,  92.41,  638.82,   87.40,  20.17,  173.69,  321.46,  37.09
      27/ 5,        49.49, 1171.60, 108.48,  660.49,   87.79,  16.26,  175.85,  329.72,  30.53
      28/ 4,        46.69, 1287.75,  91.98,  685.12,   87.76,  12.54,  184.81,  325.36,  23.24
      29/ 3,        39.52, 1575.72,  81.50,  704.50,   88.40,   9.14,  185.23,  336.22,  17.39
      30/ 2,        38.93, 1654.76,  55.16,  726.11,   88.73,   5.92,  189.18,  340.55,  11.35
      31/ 1,        36.32, 1833.02,  29.56,  744.99,   89.36,   2.88,  188.36,  353.43,   5.70
      32/ 0,        35.96, 1911.10,   0.00,  765.54,   89.77,   0.00,  191.37,  359.10,   0.00
----------------------------------------------------------------------------------------------
