Operations ratio,  Single Precision ops,,,   Double precision ops,,,     Integer operations,, 
  compute/memory,    Time,  GFLOPS, GB/sec,    Time,  GFLOPS, GB/sec,    Time,   GIOPS, GB/sec
       0/32,       253.77,    0.00, 135.40,  510.06,    0.00, 134.73,  252.86,    0.00, 135.88
       1/31,       244.99,    8.77, 135.87,  494.93,    4.34, 134.51,  244.86,    8.77, 135.94
       2/30,       233.67,   18.38, 137.85,  478.54,    8.98, 134.63,  234.28,   18.33, 137.49
       3/29,       228.18,   28.23, 136.47,  462.03,   13.94, 134.79,  228.12,   28.24, 136.50
       4/28,       219.72,   39.09, 136.83,  446.14,   19.25, 134.78,  219.71,   39.10, 136.84
       5/27,       207.22,   51.82, 139.90,  429.36,   25.01, 135.04,  207.53,   51.74, 139.70
       6/26,       198.27,   64.99, 140.81,  413.36,   31.17, 135.08,  198.70,   64.84, 140.50
       7/25,       186.45,   80.62, 143.97,  396.41,   37.92, 135.43,  187.80,   80.05, 142.94
       8/24,       173.62,   98.95, 148.43,  380.90,   45.10, 135.31,  175.50,   97.89, 146.84
       9/23,       161.84,  119.42, 152.59,  363.79,   53.13, 135.77,  164.83,  117.26, 149.83
      10/22,       152.30,  141.00, 155.10,  347.91,   61.73, 135.80,  152.64,  140.69, 154.76
      11/21,       141.20,  167.29, 159.69,  330.41,   71.49, 136.49,  144.12,  163.90, 156.45
      12/20,       130.92,  196.84, 164.03,  314.92,   81.83, 136.38,   75.81,  339.94, 283.28
      13/19,       119.22,  234.17, 171.13,  299.37,   93.25, 136.29,   69.26,  403.10, 294.57
      14/18,       110.04,  273.21, 175.63,  282.20,  106.54, 136.98,   72.88,  412.54, 265.20
      15/17,        93.09,  346.04, 196.09,  259.67,  124.05, 140.59,   78.61,  409.76, 232.19
      16/16,       126.91,  270.75, 135.38,  255.64,  134.41, 134.41,  126.82,  270.94, 135.47
      17/15,       114.72,  318.23, 140.40,  231.30,  157.84, 139.27,  109.53,  333.31, 147.05
      18/14,       110.31,  350.41, 136.27,  222.96,  173.37, 134.84,   88.75,  435.53, 169.37
      19/13,        96.93,  420.94, 144.01,  198.60,  205.45, 140.57,   91.21,  447.33, 153.03
      20/12,        90.03,  477.05, 143.12,  190.25,  225.76, 135.46,   94.42,  454.86, 136.46
      21/11,        82.73,  545.10, 142.76,  167.13,  269.84, 141.34,   94.40,  477.71, 125.11
      22/10,        78.95,  598.40, 136.00,  159.85,  295.56, 134.35,   99.58,  474.46, 107.83
      23/ 9,        66.27,  745.29, 145.82,  133.55,  369.83, 144.72,  104.41,  473.08,  92.56
      24/ 8,        63.50,  811.61, 135.27,  128.06,  402.48, 134.16,  107.34,  480.16,  80.03
      25/ 7,        50.15, 1070.46, 149.86,  101.01,  531.49, 148.82,  110.89,  484.17,  67.78
      26/ 6,        47.53, 1174.74, 135.55,   95.87,  582.41, 134.40,  116.34,  479.92,  55.38
      27/ 5,        33.56, 1727.68, 159.97,   68.67,  844.31, 156.35,  114.77,  505.18,  46.78
      28/ 4,        31.75, 1893.68, 135.26,   64.13,  937.56, 133.94,  118.11,  509.08,  36.36
      29/ 3,        24.73, 2518.50, 130.27,   59.76, 1042.04, 107.80,  116.63,  533.96,  27.62
      30/ 2,        24.40, 2640.24,  88.01,   59.70, 1079.08,  71.94,  118.12,  545.40,  18.18
      31/ 1,        22.85, 2913.27,  46.99,   58.76, 1133.03,  36.55,  115.99,  573.93,   9.26
      32/ 0,        22.58, 3043.18,   0.00,   59.45, 1155.96,   0.00,  117.46,  585.02,   0.00
