mixbench/alternating (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 1060 6GB
CUDA driver version: 8.0
GPU clock rate:      1708 MHz
Memory clock rate:   2002 MHz
Memory bus width:    192 bits
WarpSize:            32
L2 cache size:       1536 KB
Total global mem:    6070 MB
ECC enabled:         No
Compute Capability:  6.1
Total SPs:           1280 (10 MPs x 128 SPs/MP)
Compute throughput:  4373.76 GFlops (theoretical single precision FMAs)
Memory bandwidth:    192.19 GB/sec
-----------------------------------------------------------------------
Total GPU memory 6365773824, free 6200623104
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,   47.64,    0.00, 180.31,      0.000,  111.52,    0.00, 154.05,     0.000,   40.78,    0.00, 210.67
            1,      0.129,   45.56,   23.57, 182.64,      0.065,  108.58,    9.89, 153.27,     0.129,   38.52,   27.87, 216.01
            2,      0.267,   47.88,   44.85, 168.20,      0.133,  105.37,   20.38, 152.85,     0.267,   44.02,   48.79, 182.96
            3,      0.414,   40.46,   79.62, 192.43,      0.207,  102.18,   31.53, 152.37,     0.414,   46.40,   69.42, 167.77
            4,      0.571,   42.42,  101.25, 177.18,      0.286,   98.36,   43.67, 152.83,     0.571,   39.48,  108.78, 190.37
            5,      0.741,   36.92,  145.42, 196.31,      0.370,   95.10,   56.45, 152.43,     0.741,   39.78,  134.96, 182.19
            6,      0.923,   32.42,  198.73, 215.29,      0.462,   91.39,   70.49, 152.74,     0.923,   35.80,  179.94, 194.93
            7,      1.120,   31.60,  237.84, 212.35,      0.560,   89.00,   84.45, 150.81,     1.120,   33.56,  223.97, 199.97
            8,      1.333,   29.44,  291.74, 218.80,      0.667,   83.68,  102.66, 153.98,     1.333,   30.10,  285.35, 214.01
            9,      1.565,   26.67,  362.40, 231.53,      0.783,   81.71,  118.27, 151.12,     1.565,   25.63,  376.98, 240.85
           10,      1.818,   24.52,  437.87, 240.83,      0.909,   76.87,  139.68, 153.64,     1.818,   24.67,  435.24, 239.38
           11,      2.095,   21.91,  539.16, 257.33,      1.048,   81.51,  144.90, 138.31,     2.095,   22.25,  530.91, 253.39
           12,      2.400,   19.84,  649.58, 270.66,      1.200,   87.95,  146.50, 122.09,     2.400,   19.79,  651.06, 271.27
           13,      2.737,   17.51,  797.40, 291.36,      1.368,   95.27,  146.52, 107.07,     2.737,   14.96,  932.90, 340.87
           14,      3.111,   15.59,  964.33, 309.96,      1.556,  103.18,  145.70,  93.66,     3.111,   11.88, 1264.87, 406.56
           15,      3.529,   13.48, 1195.00, 338.58,      1.765,  110.56,  145.68,  82.55,     3.529,   11.35, 1419.42, 402.17
           16,      4.000,   26.96,  637.26, 159.32,      2.000,  116.77,  147.13,  73.56,     4.000,   27.03,  635.65, 158.91
           17,      4.533,   23.63,  772.46, 170.40,      2.267,  124.54,  146.56,  64.66,     4.533,   23.51,  776.35, 171.25
           18,      5.143,   21.17,  913.06, 177.54,      2.571,  131.88,  146.56,  56.99,     5.143,   21.19,  912.04, 177.34
           19,      5.846,   17.74, 1149.98, 196.71,      2.923,  139.18,  146.58,  50.14,     5.846,   13.98, 1459.71, 249.69
           20,      6.667,   15.55, 1381.34, 207.20,      3.333,  146.48,  146.61,  43.98,     6.667,   14.60, 1470.77, 220.62
           21,      7.636,   13.76, 1638.69, 214.59,      3.818,  153.25,  147.14,  38.54,     7.636,   15.34, 1469.97, 192.50
           22,      8.800,   16.27, 1451.91, 164.99,      4.400,  161.15,  146.58,  33.31,     8.800,   16.08, 1468.97, 166.93
           23,     10.222,   11.88, 2079.29, 203.41,      5.111,  168.59,  146.49,  28.66,    10.222,   16.64, 1483.96, 145.17
           24,     12.000,   13.58, 1898.16, 158.18,      6.000,  175.77,  146.61,  24.44,    12.000,   17.00, 1516.10, 126.34
           25,     14.286,   10.87, 2469.13, 172.84,      7.143,  182.50,  147.09,  20.59,    14.286,   18.10, 1483.22, 103.83
           26,     17.333,    9.63, 2899.52, 167.28,      8.667,  189.75,  147.12,  16.98,    17.333,   18.67, 1495.58,  86.28
           27,     21.600,    6.94, 4177.21, 193.39,     10.800,  197.65,  146.68,  13.58,    21.600,   19.63, 1476.75,  68.37
           28,     28.000,    7.05, 4264.36, 152.30,     14.000,  204.97,  146.68,  10.48,    28.000,   20.01, 1502.51,  53.66
           29,     38.667,    7.27, 4285.93, 110.84,     19.333,  212.27,  146.69,   7.59,    38.667,   20.71, 1503.76,  38.89
           30,     60.000,    7.44, 4327.78,  72.13,     30.000,  218.96,  147.12,   4.90,    60.000,   21.14, 1523.60,  25.39
           31,    124.000,    7.33, 4541.31,  36.62,     62.000,  226.28,  147.10,   2.37,   124.000,   21.72, 1532.57,  12.36
           32,        inf,    7.65, 4491.89,   0.00,        inf,  234.20,  146.71,   0.00,       inf,   22.53, 1525.06,   0.00
------------------------------------------------------------------------------------------------------------------------------
