mixbench/alternating (v0.02)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 480
CUDA driver version: 8.0
GPU clock rate:      1550 MHz
Memory clock rate:   950 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       768 KB
Total global mem:    1530 MB
ECC enabled:         No
Compute Capability:  2.0
Total SPs:           480 (15 MPs x 32 SPs/MP)
Compute throughput:  1488.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    182.40 GB/sec
-----------------------------------------------------------------------
Total GPU memory 1605042176, free 1502937088
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,   57.40,    0.00, 149.65,      0.000,  114.50,    0.00, 150.05,     0.000,   57.08,    0.00, 150.48
            1,      0.129,   55.73,   19.27, 149.31,      0.065,  110.91,    9.68, 150.05,     0.129,   55.77,   19.25, 149.20
            2,      0.267,   53.45,   40.18, 150.66,      0.133,  107.19,   20.03, 150.25,     0.267,   53.57,   40.08, 150.32
            3,      0.414,   52.93,   60.86, 147.07,      0.207,  103.74,   31.05, 150.08,     0.414,   52.90,   60.89, 147.16
            4,      0.571,   49.83,   86.19, 150.84,      0.286,  100.06,   42.93, 150.24,     0.571,   49.87,   86.12, 150.72
            5,      0.741,   49.27,  108.96, 147.10,      0.370,   96.64,   55.55, 149.99,     0.741,   49.16,  109.21, 147.43
            6,      0.923,   46.18,  139.49, 151.12,      0.462,   92.98,   69.29, 150.13,     0.923,   46.14,  139.62, 151.25
            7,      1.120,   45.48,  165.27, 147.56,      0.560,   89.59,   83.90, 149.82,     1.120,   45.49,  165.23, 147.53
            8,      1.333,   43.47,  197.63, 148.22,      0.667,   85.72,  100.21, 150.31,     1.333,   43.48,  197.56, 148.17
            9,      1.565,   41.68,  231.86, 148.13,      0.783,   82.60,  116.99, 149.49,     1.565,   41.73,  231.57, 147.95
           10,      1.818,   38.58,  278.30, 153.07,      0.909,   78.99,  135.94, 149.53,     1.818,   38.63,  277.96, 152.88
           11,      2.095,   37.81,  312.35, 149.08,      1.048,   74.90,  157.68, 150.52,     2.095,   37.89,  311.74, 148.78
           12,      2.400,   35.83,  359.58, 149.82,      1.200,   71.01,  181.45, 151.21,     2.400,   35.94,  358.49, 149.37
           13,      2.737,   32.50,  429.52, 156.94,      1.368,   75.81,  184.13, 134.56,     2.737,   32.62,  427.95, 156.37
           14,      3.111,   30.35,  495.36, 159.22,      1.556,   81.64,  184.13, 118.37,     3.111,   30.74,  488.96, 157.16
           15,      3.529,   28.28,  569.58, 161.38,      1.765,   87.46,  184.16, 104.36,     3.529,   28.85,  558.29, 158.18
           16,      4.000,   28.85,  595.47, 148.87,      2.000,   93.30,  184.15,  92.07,     4.000,   29.14,  589.49, 147.37
           17,      4.533,   27.51,  663.49, 146.36,      2.267,   99.11,  184.18,  81.26,     4.533,   27.99,  652.07, 143.84
           18,      5.143,   25.36,  762.00, 148.17,      2.571,  104.93,  184.19,  71.63,     5.143,   26.96,  716.78, 139.37
           19,      5.846,   23.86,  854.95, 146.24,      2.923,  110.75,  184.20,  63.02,     5.846,   28.43,  717.68, 122.76
           20,      6.667,   21.74,  987.58, 148.14,      3.333,  116.58,  184.21,  55.26,     6.667,   29.91,  717.99, 107.70
           21,      7.636,   20.28, 1111.93, 145.61,      3.818,  122.40,  184.21,  48.25,     7.636,   31.37,  718.77,  94.12
           22,      8.800,   18.69, 1263.60, 143.59,      4.400,  128.23,  184.22,  41.87,     8.800,   32.85,  719.11,  81.72
           23,     10.222,   19.34, 1277.12, 124.94,      5.111,  134.05,  184.23,  36.04,    10.222,   34.24,  721.28,  70.56
           24,     12.000,   19.73, 1305.87, 108.82,      6.000,  139.88,  184.23,  30.71,    12.000,   35.69,  721.98,  60.16
           25,     14.286,   20.30, 1322.36,  92.57,      7.143,  145.70,  184.24,  25.79,    14.286,   37.15,  722.59,  50.58
           26,     17.333,   21.05, 1325.95,  76.50,      8.667,  151.52,  184.24,  21.26,    17.333,   38.65,  722.37,  41.68
           27,     21.600,   21.74, 1333.43,  61.73,     10.800,  157.35,  184.24,  17.06,    21.600,   40.08,  723.24,  33.48
           28,     28.000,   22.33, 1346.59,  48.09,     14.000,  163.18,  184.25,  13.16,    28.000,   41.54,  723.71,  25.85
           29,     38.667,   23.01, 1353.05,  34.99,     19.333,  173.90,  179.06,   9.26,    38.667,   43.05,  723.35,  18.71
           30,     60.000,   23.69, 1360.00,  22.67,     30.000,  177.36,  181.62,   6.05,    60.000,   44.55,  723.08,  12.05
           31,    124.000,   23.49, 1417.19,  11.43,     62.000,  180.67,  184.23,   2.97,   124.000,   45.53,  731.14,   5.90
           32,        inf,   25.36, 1354.79,   0.00,        inf,  186.50,  184.24,   0.00,       inf,   46.64,  736.71,   0.00
------------------------------------------------------------------------------------------------------------------------------
