mixbench/alternating (v0.02-10-g79d284c)
------------------------ Device specifications ------------------------
Device:              Tesla K20c
CUDA driver version: 6.50
GPU clock rate:      705 MHz
Memory clock rate:   1300 MHz
Memory bus width:    320 bits
WarpSize:            32
L2 cache size:       1280 KB
Total global mem:    4799 MB
ECC enabled:         Yes
Compute Capability:  3.5
Total SPs:           2496 (13 MPs x 192 SPs/MP)
Compute throughput:  3521.86 GFlops (theoretical single precision FMAs)
Memory bandwidth:    208.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 5032706048, free 4949348352
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,   60.89,    0.00, 141.07,      0.000,  124.32,    0.00, 138.19,     0.000,   58.16,    0.00, 147.71
            1,      0.129,   56.94,   18.86, 146.14,      0.065,  120.88,    8.88, 137.68,     0.129,   56.71,   18.93, 146.73
            2,      0.267,   56.06,   38.31, 143.65,      0.133,  116.42,   18.45, 138.35,     0.267,   56.14,   38.25, 143.46
            3,      0.414,   52.59,   61.25, 148.02,      0.207,  113.08,   28.49, 137.68,     0.414,   53.10,   60.67, 146.61
            4,      0.571,   51.65,   83.15, 145.52,      0.286,  108.49,   39.59, 138.56,     0.571,   51.66,   83.14, 145.50
            5,      0.741,   48.28,  111.19, 150.11,      0.370,  105.14,   51.06, 137.87,     0.741,   48.70,  110.24, 148.83
            6,      0.923,   47.03,  136.98, 148.39,      0.462,  100.97,   63.80, 138.24,     0.923,   47.33,  136.11, 147.46
            7,      1.120,   43.47,  172.89, 154.36,      0.560,   97.15,   77.37, 138.16,     1.120,   44.51,  168.86, 150.77
            8,      1.333,   42.28,  203.17, 152.38,      0.667,   92.82,   92.55, 138.82,     1.333,   43.26,  198.56, 148.92
            9,      1.565,   38.09,  253.70, 162.08,      0.783,   89.02,  108.55, 138.71,     1.565,   40.01,  241.50, 154.29
           10,      1.818,   37.35,  287.51, 158.13,      0.909,   85.20,  126.03, 138.63,     1.818,   23.35,  459.75, 252.86
           11,      2.095,   33.55,  352.08, 168.04,      1.048,   81.10,  145.64, 139.02,     2.095,   24.79,  476.36, 227.35
           12,      2.400,   32.65,  394.61, 164.42,      1.200,   76.98,  167.37, 139.48,     2.400,   26.37,  488.67, 203.61
           13,      2.737,   28.95,  482.10, 176.15,      1.368,   72.67,  192.09, 140.37,     2.737,   28.19,  495.22, 180.95
           14,      3.111,   27.49,  546.84, 175.77,      1.556,   68.56,  219.27, 140.96,     3.111,   31.39,  478.95, 153.95
           15,      3.529,   23.60,  682.38, 193.34,      1.765,   62.96,  255.83, 144.97,     3.529,   32.00,  503.27, 142.59
           16,      4.000,   30.29,  567.14, 141.78,      2.000,   62.78,  273.64, 136.82,     4.000,   33.19,  517.64, 129.41
           17,      4.533,   27.32,  668.19, 147.39,      2.267,   57.42,  317.87, 140.24,     4.533,   34.60,  527.54, 116.37
           18,      5.143,   26.30,  734.80, 142.88,      2.571,   54.77,  352.91, 137.24,     5.143,   37.74,  512.07,  99.57
           19,      5.846,   23.83,  855.96, 146.41,      2.923,   49.60,  411.35, 140.72,     5.846,   39.30,  519.09,  88.79
           20,      6.667,   22.33,  961.52, 144.23,      3.333,   46.89,  457.97, 137.39,     6.667,   41.29,  520.15,  78.02
           21,      7.636,   19.69, 1145.02, 149.94,      3.818,   41.59,  542.15, 141.99,     7.636,   41.96,  537.43,  70.38
           22,      8.800,   19.03, 1241.45, 141.07,      4.400,   38.99,  605.85, 137.69,     8.800,   43.95,  537.45,  61.07
           23,     10.222,   16.28, 1516.62, 148.36,      5.111,   34.03,  725.62, 141.97,    10.222,   45.70,  540.37,  52.86
           24,     12.000,   15.39, 1674.85, 139.57,      6.000,   31.49,  818.29, 136.38,    12.000,   47.14,  546.66,  45.56
           25,     14.286,   12.50, 2147.38, 150.32,      7.143,   26.12, 1027.58, 143.86,    14.286,   48.79,  550.18,  38.51
           26,     17.333,   11.66, 2395.05, 138.18,      8.667,   26.52, 1052.50, 121.44,    17.333,   51.01,  547.33,  31.58
           27,     21.600,   11.40, 2542.59, 117.71,     10.800,   27.47, 1055.39,  97.72,    21.600,   52.87,  548.35,  25.39
           28,     28.000,   13.57, 2214.93,  79.10,     14.000,   27.84, 1079.86,  77.13,    28.000,   54.27,  554.01,  19.79
           29,     38.667,   11.38, 2737.04,  70.79,     19.333,   28.28, 1100.90,  56.94,    38.667,   55.46,  561.49,  14.52
           30,     60.000,   11.51, 2798.57,  46.64,     30.000,   29.05, 1108.97,  36.97,    60.000,   57.35,  561.66,   9.36
           31,    124.000,   11.49, 2896.07,  23.36,     62.000,   29.44, 1130.49,  18.23,   124.000,   58.07,  573.17,   4.62
           32,        inf,   11.79, 2913.33,   0.00,        inf,   30.04, 1143.75,   0.00,       inf,   59.47,  577.78,   0.00
------------------------------------------------------------------------------------------------------------------------------
