mixbench/read-only (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 1060 6GB
CUDA driver version: 8.0
GPU clock rate:      1708 MHz
Memory clock rate:   2002 MHz
Memory bus width:    192 bits
WarpSize:            32
L2 cache size:       1536 KB
Total global mem:    6070 MB
ECC enabled:         No
Compute Capability:  6.1
Total SPs:           1280 (10 MPs x 128 SPs/MP)
Compute throughput:  4373.76 GFlops (theoretical single precision FMAs)
Memory bandwidth:    192.19 GB/sec
-----------------------------------------------------------------------
Total GPU memory 6365773824, free 6200623104
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.81,   41.48, 165.91,      0.125,    1.70,   19.73, 157.82,     0.250,    0.81,   41.43, 165.72
            1,      0.750,    0.81,  124.28, 165.70,      0.375,    1.61,   62.34, 166.23,     0.750,    0.81,  124.28, 165.70
            2,      1.250,    0.81,  207.24, 165.79,      0.625,    1.62,  103.63, 165.81,     1.250,    0.81,  207.39, 165.91
            3,      1.750,    0.81,  290.07, 165.76,      0.875,    2.05,  114.69, 131.07,     1.750,    0.81,  290.35, 165.91
            4,      2.250,    0.81,  372.85, 165.71,      1.125,    2.62,  115.47, 102.64,     2.250,    0.81,  372.83, 165.70
            5,      2.750,    0.84,  441.18, 160.43,      1.375,    3.18,  116.20,  84.51,     2.750,    0.81,  454.07, 165.12
            6,      3.250,    0.81,  539.22, 165.91,      1.625,    3.73,  117.04,  72.02,     3.250,    0.81,  536.50, 165.08
            7,      3.750,    0.81,  621.51, 165.74,      1.875,    4.29,  117.34,  62.58,     3.750,    0.81,  618.26, 164.87
            8,      4.250,    0.81,  704.41, 165.74,      2.125,    4.85,  117.57,  55.33,     4.250,    0.82,  698.97, 164.46
            9,      4.750,    0.81,  788.09, 165.91,      2.375,    5.43,  117.49,  49.47,     4.750,    0.82,  779.52, 164.11
           10,      5.250,    0.81,  868.95, 165.51,      2.625,    5.99,  117.69,  44.84,     5.250,    0.82,  861.67, 164.13
           11,      5.750,    0.81,  952.84, 165.71,      2.875,    6.55,  117.82,  40.98,     5.750,    0.81,  948.12, 164.89
           12,      6.250,    0.81, 1034.79, 165.57,      3.125,    7.11,  117.98,  37.75,     6.250,    0.82, 1028.42, 164.55
           13,      6.750,    0.81, 1118.55, 165.71,      3.375,    7.67,  118.04,  34.98,     6.750,    0.81, 1111.65, 164.69
           14,      7.250,    0.81, 1198.61, 165.33,      3.625,    8.24,  118.06,  32.57,     7.250,    0.85, 1147.93, 158.34
           15,      7.750,    0.81, 1282.59, 165.49,      3.875,    8.80,  118.20,  30.50,     7.750,    0.89, 1162.79, 150.04
           16,      8.250,    0.89, 1250.65, 151.59,      4.125,    9.37,  118.23,  28.66,     8.250,    0.94, 1176.77, 142.64
           17,      8.750,    0.81, 1448.14, 165.50,      4.375,    9.91,  118.57,  27.10,     8.750,    0.99, 1182.54, 135.15
           18,      9.250,    0.81, 1530.83, 165.49,      4.625,   10.46,  118.66,  25.66,     9.250,    1.04, 1188.64, 128.50
           20,     10.250,    0.81, 1692.65, 165.14,      5.125,   11.61,  118.48,  23.12,    10.250,    1.15, 1194.61, 116.55
           22,     11.250,    0.81, 1860.06, 165.34,      5.625,   12.19,  123.86,  22.02,    11.250,    1.15, 1313.38, 116.75
           24,     12.250,    0.81, 2023.08, 165.15,      6.125,   12.69,  129.52,  21.15,    12.250,    1.24, 1328.07, 108.41
           28,     14.250,    0.81, 2353.29, 165.14,      7.125,   14.73,  129.85,  18.23,    14.250,    1.43, 1334.19,  93.63
           32,     16.250,    0.81, 2689.29, 165.49,      8.125,   16.79,  129.91,  15.99,    16.250,    1.63, 1339.73,  82.44
           40,     20.250,    0.81, 3338.63, 164.87,     10.125,   20.90,  130.07,  12.85,    20.250,    2.02, 1347.31,  66.53
           48,     24.250,    0.87, 3762.65, 155.16,     12.125,   24.94,  130.48,  10.76,    24.250,    2.42, 1344.54,  55.45
           56,     28.250,    0.98, 3853.55, 136.41,     14.125,   29.09,  130.32,   9.23,    28.250,    2.85, 1331.94,  47.15
           64,     32.250,    1.10, 3933.30, 121.96,     16.125,   32.02,  135.18,   8.38,    32.250,    2.95, 1467.73,  45.51
           80,     40.250,    1.22, 4427.39, 110.00,     20.125,   37.18,  145.30,   7.22,    40.250,    3.79, 1425.47,  35.42
           96,     48.250,    1.45, 4469.42,  92.63,     24.125,   44.66,  145.01,   6.01,    48.250,    4.62, 1401.96,  29.06
          128,     64.250,    1.91, 4521.01,  70.37,     32.125,   59.29,  145.44,   4.53,    64.250,    6.26, 1378.32,  21.45
          192,     96.250,    2.90, 4459.76,  46.34,     48.125,   87.58,  147.51,   3.07,    96.250,    9.73, 1327.97,  13.80
          256,    128.250,    3.98, 4326.16,  33.73,     64.125,  116.77,  147.41,   2.30,   128.250,   12.93, 1330.79,  10.38
------------------------------------------------------------------------------------------------------------------------------
