mixbench/read-only (v0.02)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 480
CUDA driver version: 8.0
GPU clock rate:      1550 MHz
Memory clock rate:   950 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       768 KB
Total global mem:    1530 MB
ECC enabled:         No
Compute Capability:  2.0
Total SPs:           480 (15 MPs x 32 SPs/MP)
Compute throughput:  1488.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    182.40 GB/sec
-----------------------------------------------------------------------
Total GPU memory 1605042176, free 1502937088
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.83,   40.54, 162.16,      0.125,    1.66,   20.20, 161.60,     0.250,    0.83,   40.61, 162.43
            1,      0.750,    0.83,  121.91, 162.55,      0.375,    1.66,   60.57, 161.52,     0.750,    0.83,  121.99, 162.65
            2,      1.250,    0.83,  203.06, 162.45,      0.625,    1.66,  101.01, 161.61,     1.250,    0.83,  202.91, 162.32
            3,      1.750,    0.83,  284.22, 162.41,      0.875,    1.66,  141.20, 161.37,     1.750,    0.83,  284.37, 162.49
            4,      2.250,    0.83,  365.32, 162.36,      1.125,    1.74,  173.09, 153.86,     2.250,    0.83,  364.02, 161.79
            5,      2.750,    0.83,  446.41, 162.33,      1.375,    2.06,  179.09, 130.25,     2.750,    0.83,  446.55, 162.38
            6,      3.250,    0.82,  530.57, 163.25,      1.625,    2.42,  180.38, 111.00,     3.250,    0.84,  518.72, 159.61
            7,      3.750,    0.82,  611.22, 162.99,      1.875,    2.78,  181.29,  96.69,     3.750,    0.87,  580.63, 154.83
            8,      4.250,    0.83,  689.88, 162.32,      2.125,    3.14,  181.75,  85.53,     4.250,    0.88,  646.89, 152.21
            9,      4.750,    0.83,  770.33, 162.17,      2.375,    3.50,  182.29,  76.75,     4.750,    0.94,  681.64, 143.50
           10,      5.250,    0.83,  843.94, 160.75,      2.625,    3.86,  182.65,  69.58,     5.250,    1.02,  692.76, 131.95
           11,      5.750,    0.84,  922.12, 160.37,      2.875,    4.22,  182.96,  63.64,     5.750,    1.10,  699.17, 121.60
           12,      6.250,    0.85,  992.41, 158.78,      3.125,    4.58,  183.13,  58.60,     6.250,    1.19,  706.84, 113.09
           13,      6.750,    0.86, 1053.06, 156.01,      3.375,    4.96,  182.73,  54.14,     6.750,    1.27,  711.69, 105.43
           14,      7.250,    0.87, 1112.93, 153.51,      3.625,    5.30,  183.47,  50.61,     7.250,    1.36,  713.45,  98.41
           15,      7.750,    0.90, 1153.59, 148.85,      3.875,    5.66,  183.66,  47.40,     7.750,    1.45,  715.96,  92.38
           16,      8.250,    0.93, 1189.80, 144.22,      4.125,    6.05,  183.17,  44.41,     8.250,    1.54,  717.56,  86.98
           17,      8.750,    0.96, 1223.30, 139.81,      4.375,    6.39,  183.84,  42.02,     8.750,    1.63,  718.57,  82.12
           18,      9.250,    1.00, 1245.46, 134.64,      4.625,    6.76,  183.62,  39.70,     9.250,    1.72,  720.97,  77.94
           20,     10.250,    1.08, 1276.06, 124.49,      5.125,    7.47,  184.18,  35.94,    10.250,    1.90,  723.33,  70.57
           22,     11.250,    1.17, 1291.49, 114.80,      5.625,    8.19,  184.30,  32.76,    11.250,    2.08,  725.67,  64.50
           24,     12.250,    1.25, 1314.64, 107.32,      6.125,    8.91,  184.43,  30.11,    12.250,    2.26,  727.53,  59.39
           28,     14.250,    1.44, 1332.01,  93.47,      7.125,   10.36,  184.61,  25.91,    14.250,    2.63,  728.44,  51.12
           32,     16.250,    1.62, 1348.77,  83.00,      8.125,   11.80,  184.76,  22.74,    16.250,    2.99,  730.04,  44.93
           40,     20.250,    1.97, 1380.92,  68.19,     10.125,   14.70,  184.93,  18.26,    20.250,    3.71,  732.85,  36.19
           48,     24.250,    2.33, 1399.56,  57.71,     12.125,   17.59,  185.05,  15.26,    24.250,    4.43,  734.28,  30.28
           56,     28.250,    2.69, 1409.01,  49.88,     14.125,   20.55,  184.47,  13.06,    28.250,    5.15,  735.59,  26.04
           64,     32.250,    3.06, 1413.57,  43.83,     16.125,   23.37,  185.21,  11.49,    32.250,    5.88,  736.35,  22.83
           80,     40.250,    3.78, 1427.54,  35.47,     20.125,   29.15,  185.30,   9.21,    40.250,    7.32,  737.70,  18.33
           96,     48.250,    4.52, 1431.29,  29.66,     24.125,   34.94,  185.33,   7.68,    48.250,    8.77,  738.38,  15.30
          128,     64.250,    5.96, 1447.52,  22.53,     32.125,   46.51,  185.43,   5.77,    64.250,   11.66,  739.62,  11.51
          192,     96.250,    8.88, 1454.12,  15.11,     48.125,   69.64,  185.51,   3.85,    96.250,   17.44,  740.65,   7.70
          256,    128.250,   11.78, 1460.78,  11.39,     64.125,   92.77,  185.54,   2.89,   128.250,   23.23,  741.04,   5.78
------------------------------------------------------------------------------------------------------------------------------
