mixbench/read-only (v0.02-10-g79d284c)
------------------------ Device specifications ------------------------
Device:              Tesla K20c
CUDA driver version: 6.50
GPU clock rate:      705 MHz
Memory clock rate:   1300 MHz
Memory bus width:    320 bits
WarpSize:            32
L2 cache size:       1280 KB
Total global mem:    4799 MB
ECC enabled:         Yes
Compute Capability:  3.5
Total SPs:           2496 (13 MPs x 192 SPs/MP)
Compute throughput:  3521.86 GFlops (theoretical single precision FMAs)
Memory bandwidth:    208.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 5032706048, free 4948299776
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.87,   38.36, 153.45,      0.125,    1.78,   18.90, 151.20,     0.250,    0.87,   38.36, 153.46
            1,      0.750,    0.87,  115.48, 153.98,      0.375,    1.77,   56.82, 151.53,     0.750,    0.88,  115.02, 153.36
            2,      1.250,    0.87,  192.34, 153.87,      0.625,    1.77,   94.64, 151.42,     1.250,    0.87,  192.55, 154.04
            3,      1.750,    0.88,  267.86, 153.07,      0.875,    1.78,  132.05, 150.92,     1.750,    0.88,  266.98, 152.56
            4,      2.250,    0.88,  344.62, 153.17,      1.125,    1.78,  169.87, 151.00,     2.250,    0.89,  340.15, 151.18
            5,      2.750,    0.88,  421.51, 153.28,      1.375,    1.78,  207.69, 151.05,     2.750,    0.96,  384.52, 139.82
            6,      3.250,    0.88,  496.18, 152.67,      1.625,    1.78,  245.31, 150.96,     3.250,    1.03,  422.79, 130.09
            7,      3.750,    0.88,  571.93, 152.51,      1.875,    1.78,  283.20, 151.04,     3.750,    1.11,  454.13, 121.10
            8,      4.250,    0.88,  648.33, 152.55,      2.125,    1.78,  320.81, 150.97,     4.250,    1.23,  464.21, 109.23
            9,      4.750,    0.88,  726.40, 152.93,      2.375,    1.78,  358.29, 150.86,     4.750,    1.33,  477.99, 100.63
           10,      5.250,    0.88,  799.89, 152.36,      2.625,    1.78,  395.76, 150.77,     5.250,    1.45,  487.57,  92.87
           11,      5.750,    0.88,  878.14, 152.72,      2.875,    1.78,  433.90, 150.92,     5.750,    1.56,  493.83,  85.88
           12,      6.250,    0.88,  949.76, 151.96,      3.125,    1.78,  470.89, 150.68,     6.250,    1.68,  499.76,  79.96
           13,      6.750,    0.89, 1022.74, 151.52,      3.375,    1.78,  508.42, 150.64,     6.750,    1.80,  503.97,  74.66
           14,      7.250,    0.88, 1099.93, 151.71,      3.625,    1.78,  546.59, 150.78,     7.250,    1.90,  511.36,  70.53
           15,      7.750,    0.88, 1178.65, 152.08,      3.875,    1.78,  584.71, 150.89,     7.750,    2.02,  514.84,  66.43
           16,      8.250,    0.88, 1253.69, 151.96,      4.125,    1.78,  621.62, 150.70,     8.250,    2.13,  519.70,  62.99
           17,      8.750,    0.88, 1329.86, 151.98,      4.375,    1.79,  657.92, 150.38,     8.750,    2.24,  523.90,  59.87
           18,      9.250,    0.88, 1403.41, 151.72,      4.625,    1.79,  694.51, 150.16,     9.250,    2.36,  525.24,  56.78
           20,     10.250,    0.89, 1547.07, 150.93,      5.125,    1.79,  768.02, 149.86,    10.250,    2.60,  528.87,  51.60
           22,     11.250,    0.89, 1696.91, 150.84,      5.625,    1.80,  838.58, 149.08,    11.250,    2.83,  533.11,  47.39
           24,     12.250,    0.89, 1848.28, 150.88,      6.125,    1.86,  883.72, 144.28,    12.250,    3.06,  537.87,  43.91
           28,     14.250,    0.90, 2132.09, 149.62,      7.125,    1.96,  974.93, 136.83,    14.250,    3.56,  537.15,  37.69
           32,     16.250,    0.95, 2298.04, 141.42,      8.125,    2.13, 1024.49, 126.09,    16.250,    4.02,  541.92,  33.35
           40,     20.250,    1.05, 2589.71, 127.89,     10.125,    2.57, 1058.23, 104.52,    20.250,    4.94,  549.91,  27.16
           48,     24.250,    1.22, 2678.25, 110.44,     12.125,    3.02, 1078.84,  88.98,    24.250,    5.87,  554.65,  22.87
           56,     28.250,    1.38, 2738.68,  96.94,     14.125,    3.48, 1091.08,  77.24,    28.250,    6.79,  558.80,  19.78
           64,     32.250,    1.57, 2763.81,  85.70,     16.125,    3.95, 1097.00,  68.03,    32.250,    7.72,  560.75,  17.39
           80,     40.250,    1.92, 2816.07,  69.96,     20.125,    4.85, 1114.41,  55.37,    40.250,    9.54,  566.49,  14.07
           96,     48.250,    2.28, 2846.27,  58.99,     24.125,    5.76, 1124.11,  46.60,    48.250,   11.38,  568.97,  11.79
          128,     64.250,    3.00, 2876.67,  44.77,     32.125,    7.59, 1136.47,  35.38,    64.250,   15.04,  573.19,   8.92
          192,     96.250,    4.46, 2896.81,  30.10,     48.125,   11.26, 1146.81,  23.83,    96.250,   22.41,  576.34,   5.99
          256,    128.250,    6.27, 2747.40,  21.42,     64.125,   15.03, 1145.15,  17.86,   128.250,   29.86,  576.49,   4.50
------------------------------------------------------------------------------------------------------------------------------
