mixbench (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 480
CUDA driver version: 5.50
GPU clock rate:      1401 MHz
Memory clock rate:   924 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       768 KB
Total global mem:    1535 MB
ECC enabled:         No
Compute Capability:  2.0
Total SPs:           480 (15 MPs x 32 SPs/MP)
Compute throughput:  1344.96 GFlops (theoretical single precision FMAs)
Memory bandwidth:    177.41 GB/sec
-----------------------------------------------------------------------
Total GPU memory 1610285056, free 1195106304
Buffer size: 256MB
Trade-off type:compute with global memory (block strided)
----------------------------------------- EXCEL data -----------------------------------------
Operations ratio,  Single Precision ops,,,   Double precision ops,,,     Integer operations,, 
  compute/memory,    Time,  GFLOPS, GB/sec,    Time,  GFLOPS, GB/sec,    Time,   GIOPS, GB/sec
       0/32,       240.49,    0.00, 142.88,  475.24,    0.00, 144.60,  240.33,    0.00, 142.97
       1/31,       233.53,    9.20, 142.54,  460.11,    4.67, 144.69,  233.47,    9.20, 142.57
       2/30,       225.26,   19.07, 143.00,  445.23,    9.65, 144.70,  225.41,   19.05, 142.91
       3/29,       218.55,   29.48, 142.48,  430.47,   14.97, 144.67,  218.85,   29.44, 142.29
       4/28,       210.32,   40.84, 142.95,  415.30,   20.68, 144.78,  210.37,   40.83, 142.91
       5/27,       203.06,   52.88, 142.77,  400.63,   26.80, 144.73,  203.19,   52.84, 142.68
       6/26,       194.52,   66.24, 143.52,  385.29,   33.44, 144.92,  194.60,   66.21, 143.46
       7/25,       187.38,   80.22, 143.26,  370.87,   40.53, 144.76,  187.40,   80.21, 143.24
       8/24,       174.93,   98.21, 147.32,  355.90,   48.27, 144.82,  175.04,   98.15, 147.22
       9/23,       171.79,  112.51, 143.76,  341.30,   56.63, 144.72,  171.85,  112.46, 143.70
      10/22,       163.48,  131.36, 144.50,  326.17,   65.84, 144.85,  163.31,  131.50, 144.65
      11/21,       155.90,  151.53, 144.64,  311.80,   75.76, 144.64,  155.86,  151.56, 144.67
      12/20,       146.56,  175.83, 146.52,  296.35,   86.96, 144.93,  146.81,  175.53, 146.28
      13/19,       138.92,  200.96, 146.86,  281.65,   99.12, 144.87,  139.03,  200.80, 146.74
      14/18,       129.53,  232.11, 149.21,  266.47,  112.83, 145.06,  129.82,  231.60, 148.88
      15/17,       121.26,  265.64, 150.53,  251.37,  128.15, 145.24,  121.44,  265.25, 150.31
      16/16,       120.02,  286.28, 143.14,  235.80,  145.72, 145.72,  120.03,  286.25, 143.12
      17/15,       111.40,  327.71, 144.58,  219.48,  166.34, 146.77,  111.58,  327.19, 144.35
      18/14,       106.47,  363.05, 141.19,  231.48,  166.99, 129.88,  106.54,  362.81, 141.09
      19/13,        96.14,  424.39, 145.19,  243.48,  167.58, 114.66,   96.50,  422.84, 144.66
      20/12,        89.57,  479.48, 143.85,  257.19,  167.00, 100.20,   89.63,  479.19, 143.76
      21/11,        81.92,  550.50, 144.18,  270.04,  167.00,  87.48,   83.27,  541.60, 141.85
      22/10,        76.09,  620.94, 141.12,  281.87,  167.61,  76.19,   76.10,  620.81, 141.09
      23/ 9,        65.51,  753.96, 147.51,  294.67,  167.62,  65.59,   76.88,  642.43, 125.69
      24/ 8,        60.90,  846.30, 141.05,  307.48,  167.62,  55.87,   80.09,  643.50, 107.25
      25/ 7,        52.04, 1031.64, 144.43,  321.45,  167.02,  46.76,   83.28,  644.64,  90.25
      26/ 6,        48.32, 1155.55, 133.33,  334.30,  167.02,  38.54,   86.50,  645.49,  74.48
      27/ 5,        49.52, 1170.90, 108.42,  347.16,  167.02,  30.93,   89.69,  646.49,  59.86
      28/ 4,        50.71, 1185.83,  84.70,  360.01,  167.02,  23.86,   92.91,  647.15,  46.23
      29/ 3,        52.01, 1197.51,  61.94,  372.87,  167.02,  17.28,   96.08,  648.15,  33.52
      30/ 2,        53.40, 1206.40,  40.21,  385.72,  167.02,  11.13,   99.32,  648.67,  21.62
      31/ 1,        53.27, 1249.72,  20.16,  397.20,  167.60,   5.41,  100.91,  659.72,  10.64
      32/ 0,        53.55, 1283.33,   0.00,  410.01,  167.60,   0.00,  102.52,  670.32,   0.00
----------------------------------------------------------------------------------------------
