Operations ratio,  Single Precision ops,,,   Double precision ops,,,     Integer operations,, 
  compute/memory,    Time,  GFLOPS, GB/sec,    Time,  GFLOPS, GB/sec,    Time,   GIOPS, GB/sec
       0/32,       253.92,    0.00, 135.32,  477.09,    0.00, 144.04,  253.42,    0.00, 135.59
       1/31,       246.01,    8.73, 135.30,  461.62,    4.65, 144.21,  245.93,    8.73, 135.35
       2/30,       236.54,   18.16, 136.18,  446.22,    9.63, 144.38,  236.46,   18.16, 136.23
       3/29,       228.92,   28.14, 136.02,  430.83,   14.95, 144.55,  229.01,   28.13, 135.97
       4/28,       219.50,   39.13, 136.97,  415.59,   20.67, 144.68,  219.45,   39.14, 137.00
       5/27,       211.97,   50.66, 136.77,  400.49,   26.81, 144.78,  211.99,   50.65, 136.76
       6/26,       202.32,   63.69, 137.98,  385.21,   33.45, 144.94,  202.33,   63.68, 137.98
       7/25,       194.57,   77.26, 137.96,  370.05,   40.62, 145.08,  194.55,   77.27, 137.98
       8/24,       184.31,   93.21, 139.82,  354.57,   48.45, 145.36,  184.40,   93.17, 139.75
       9/23,       176.50,  109.50, 139.92,  339.77,   56.88, 145.37,  176.59,  109.45, 139.85
      10/22,       166.75,  128.79, 141.67,  324.54,   66.17, 145.58,  166.95,  128.63, 141.49
      11/21,       159.06,  148.52, 141.77,  309.72,   76.27, 145.61,  159.30,  148.29, 141.55
      12/20,       149.35,  172.55, 143.79,  294.63,   87.47, 145.78,  149.34,  172.56, 143.80
      13/19,       140.87,  198.18, 144.82,  279.63,   99.84, 145.91,  141.11,  197.84, 144.57
      14/18,       130.40,  230.55, 148.21,  263.87,  113.94, 146.49,  130.78,  229.89, 147.79
      15/17,       120.90,  266.45, 150.99,  249.22,  129.25, 146.49,  121.48,  265.16, 150.26
      16/16,       126.87,  270.83, 135.41,  235.88,  145.67, 145.67,  126.95,  270.65, 135.32
      17/15,       116.61,  313.07, 138.12,  219.88,  166.03, 146.50,  116.84,  312.47, 137.85
      18/14,       110.04,  351.29, 136.61,  232.06,  166.58, 129.56,  110.05,  351.24, 136.59
      19/13,       100.01,  407.99, 139.57,  243.99,  167.23, 114.42,  100.41,  406.36, 139.02
      20/12,        92.86,  462.51, 138.75,  256.75,  167.28, 100.37,   93.06,  461.55, 138.46
      21/11,        84.83,  531.63, 139.24,  269.60,  167.28,  87.62,   85.70,  526.22, 137.82
      22/10,        78.88,  598.95, 136.12,  282.68,  167.13,  75.97,   79.04,  597.70, 135.84
      23/ 9,        68.15,  724.75, 141.80,  294.79,  167.55,  65.56,   80.40,  614.34, 120.20
      24/ 8,        63.36,  813.40, 135.57,  307.60,  167.55,  55.85,   83.46,  617.56, 102.93
      25/ 7,        55.21,  972.45, 136.14,  320.31,  167.61,  46.93,   87.01,  617.01,  86.38
      26/ 6,        52.69, 1059.71, 122.27,  333.12,  167.61,  38.68,   89.69,  622.53,  71.83
      27/ 5,        52.82, 1097.72, 101.64,  345.90,  167.63,  31.04,   91.30,  635.09,  58.80
      28/ 4,        53.10, 1132.45,  80.89,  360.02,  167.02,  23.86,   96.13,  625.50,  44.68
      29/ 3,        53.16, 1171.51,  60.60,  372.87,  167.02,  17.28,   97.69,  637.50,  32.97
      30/ 2,        53.36, 1207.32,  40.24,  385.72,  167.02,  11.13,   99.29,  648.83,  21.63
      31/ 1,        53.38, 1247.17,  20.12,  397.20,  167.60,   5.41,  100.90,  659.79,  10.64
      32/ 0,        53.47, 1285.14,   0.00,  410.01,  167.60,   0.00,  102.50,  670.45,   0.00
