mixbench (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 480
CUDA driver version: 5.50
GPU clock rate:      1401 MHz
Memory clock rate:   924 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       768 KB
Total global mem:    1535 MB
ECC enabled:         No
Compute Capability:  2.0
Total SPs:           480 (15 MPs x 32 SPs/MP)
Compute throughput:  1344.96 GFlops (theoretical single precision FMAs)
Memory bandwidth:    177.41 GB/sec
-----------------------------------------------------------------------
Total GPU memory 1610285056, free 1195106304
Buffer size: 256MB
Trade-off type:compute with global memory (grid strided)
----------------------------------------- EXCEL data -----------------------------------------
Operations ratio,  Single Precision ops,,,   Double precision ops,,,     Integer operations   
  compute/memory,    Time,  GFLOPS, GB/sec,    Time,  GFLOPS, GB/sec,    Time,   GIOPS, GB/sec
       0/32,       253.83,    0.00, 135.37,  477.30,    0.00, 143.98,  253.67,    0.00, 135.45
       1/31,       245.80,    8.74, 135.42,  461.75,    4.65, 144.17,  246.04,    8.73, 135.29
       2/30,       236.28,   18.18, 136.33,  446.11,    9.63, 144.41,  236.55,   18.16, 136.18
       3/29,       228.87,   28.15, 136.06,  430.94,   14.95, 144.51,  228.86,   28.15, 136.06
       4/28,       219.52,   39.13, 136.96,  415.59,   20.67, 144.69,  219.41,   39.15, 137.03
       5/27,       211.86,   50.68, 136.84,  400.42,   26.82, 144.80,  212.12,   50.62, 136.67
       6/26,       202.61,   63.60, 137.79,  385.26,   33.44, 144.93,  202.59,   63.60, 137.80
       7/25,       194.52,   77.28, 138.00,  370.20,   40.61, 145.02,  194.64,   77.23, 137.91
       8/24,       184.46,   93.14, 139.71,  354.51,   48.46, 145.38,  184.32,   93.21, 139.81
       9/23,       176.41,  109.56, 139.99,  339.55,   56.92, 145.46,  176.53,  109.48, 139.90
      10/22,       166.76,  128.78, 141.66,  324.71,   66.14, 145.50,  166.83,  128.72, 141.60
      11/21,       159.27,  148.31, 141.57,  309.58,   76.30, 145.67,  159.23,  148.36, 141.61
      12/20,       149.32,  172.58, 143.82,  294.39,   87.54, 145.90,  149.61,  172.25, 143.54
      13/19,       140.74,  198.36, 144.96,  279.76,   99.79, 145.85,  141.15,  197.78, 144.53
      14/18,       130.25,  230.83, 148.39,  263.89,  113.93, 146.48,  130.63,  230.15, 147.95
      15/17,       120.85,  266.56, 151.05,  248.68,  129.53, 146.80,  121.50,  265.13, 150.24
      16/16,       126.97,  270.61, 135.30,  235.81,  145.71, 145.71,  126.97,  270.60, 135.30
      17/15,       116.63,  313.02, 138.10,  219.88,  166.03, 146.50,  116.71,  312.81, 138.00
      18/14,       110.01,  351.38, 136.65,  231.93,  166.66, 129.63,  110.10,  351.07, 136.53
      19/13,        99.98,  408.12, 139.62,  244.08,  167.17, 114.38,  100.36,  406.55, 139.08
      20/12,        92.89,  462.38, 138.71,  256.80,  167.25, 100.35,   93.06,  461.52, 138.46
      21/11,        84.90,  531.17, 139.12,  269.53,  167.32,  87.64,   85.69,  526.31, 137.84
      22/10,        78.87,  599.05, 136.15,  282.58,  167.19,  75.99,   79.02,  597.90, 135.89
      23/ 9,        68.23,  723.88, 141.63,  294.78,  167.55,  65.56,   80.42,  614.19, 120.17
      24/ 8,        63.28,  814.47, 135.75,  307.58,  167.57,  55.86,   83.47,  617.48, 102.91
      25/ 7,        55.21,  972.48, 136.15,  320.30,  167.61,  46.93,   87.03,  616.89,  86.36
      26/ 6,        52.68, 1059.80, 122.29,  333.12,  167.61,  38.68,   89.70,  622.48,  71.83
      27/ 5,        52.80, 1098.05, 101.67,  345.90,  167.63,  31.04,   91.32,  634.91,  58.79
      28/ 4,        53.10, 1132.42,  80.89,  360.02,  167.02,  23.86,   96.13,  625.52,  44.68
      29/ 3,        53.17, 1171.33,  60.59,  372.87,  167.02,  17.28,   97.70,  637.41,  32.97
      30/ 2,        53.35, 1207.60,  40.25,  385.72,  167.02,  11.13,   99.32,  648.66,  21.62
      31/ 1,        53.43, 1245.97,  20.10,  397.20,  167.60,   5.41,  100.89,  659.82,  10.64
      32/ 0,        53.52, 1284.06,   0.00,  410.01,  167.60,   0.00,  102.50,  670.41,   0.00
----------------------------------------------------------------------------------------------
