Operations ratio,  Single Precision ops,,,   Double precision ops,,,     Integer operations,, 
  compute/memory,    Time,  GFLOPS, GB/sec,    Time,  GFLOPS, GB/sec,    Time,   GIOPS, GB/sec
       0/32,       331.11,    0.00, 103.77,  667.21,    0.00, 103.00,  332.01,    0.00, 103.49
       1/31,       322.63,    6.66, 103.17,  646.75,    3.32, 102.93,  322.64,    6.66, 103.17
       2/30,       310.95,   13.81, 103.59,  624.97,    6.87, 103.08,  311.74,   13.78, 103.33
       3/29,       301.76,   21.35, 103.19,  604.63,   10.66, 103.00,  301.68,   21.35, 103.22
       4/28,       290.63,   29.56, 103.45,  582.72,   14.74, 103.19,  290.70,   29.55, 103.42
       5/27,       280.65,   38.26, 103.30,  562.92,   19.07, 103.00,  280.64,   38.26, 103.30
       6/26,       266.96,   48.27, 104.58,  541.01,   23.82, 103.20,  266.95,   48.27, 104.58
       7/25,       257.54,   58.37, 104.23,  521.92,   28.80, 102.86,  257.37,   58.41, 104.30
       8/24,       245.75,   69.91, 104.86,  499.74,   34.38, 103.13,  245.88,   69.87, 104.81
       9/23,       235.43,   82.10, 104.90,  479.95,   40.27, 102.91,  235.78,   81.97, 104.74
      10/22,       221.06,   97.14, 106.86,  457.62,   46.93, 103.24,  221.61,   96.90, 106.59
      11/21,       211.91,  111.47, 106.40,  437.38,   54.01, 103.11,  211.88,  111.49, 106.42
      12/20,       199.05,  129.47, 107.89,  414.84,   62.12, 103.53,  199.24,  129.34, 107.78
      13/19,       190.31,  146.70, 107.20,  393.94,   70.87, 103.57,  189.86,  147.04, 107.45
      14/18,       177.74,  169.15, 108.74,  359.14,   83.71, 107.63,  176.37,  170.46, 109.58
      15/17,       168.27,  191.43, 108.48,  380.20,   84.73,  96.02,  165.09,  195.11, 110.56
      16/16,       166.63,  206.21, 103.10,  402.23,   85.42,  85.42,  166.11,  206.85, 103.43
      17/15,       151.23,  241.40, 106.50,  422.91,   86.32,  76.17,  151.35,  241.22, 106.42
      18/14,       145.16,  266.28, 103.55,  449.93,   85.91,  66.82,  144.24,  267.99, 104.22
      19/13,       130.33,  313.06, 107.10,  471.32,   86.57,  59.23,  133.18,  306.36, 104.81
      20/12,       122.54,  350.49, 105.15,  493.84,   86.97,  52.18,  135.52,  316.91,  95.07
      21/11,       108.98,  413.80, 108.38,  516.80,   87.26,  45.71,  136.02,  331.54,  86.83
      22/10,       103.84,  454.97, 103.40,  541.29,   87.28,  39.67,  143.34,  329.59,  74.91
      23/ 9,        87.14,  566.84, 110.90,  562.00,   87.89,  34.39,  147.87,  334.02,  65.35
      24/ 8,        83.16,  619.78, 103.30,  588.06,   87.64,  29.21,  158.65,  324.86,  54.14
      25/ 7,        66.28,  809.95, 113.39,  611.92,   87.74,  24.57,  164.40,  326.56,  45.72
      26/ 6,        61.95,  901.26, 103.99,  636.72,   87.69,  20.24,  168.69,  330.98,  38.19
      27/ 5,        44.34, 1307.52, 121.07,  656.36,   88.34,  16.36,  173.32,  334.55,  30.98
      28/ 4,        41.10, 1463.07, 104.50,  684.11,   87.89,  12.56,  177.56,  338.64,  24.19
      29/ 3,        39.28, 1585.59,  82.01,  702.50,   88.65,   9.17,  182.78,  340.71,  17.62
      30/ 2,        38.83, 1659.27,  55.31,  724.86,   88.88,   5.93,  189.08,  340.73,  11.36
      31/ 1,        35.59, 1870.36,  30.17,  743.62,   89.52,   2.89,  188.36,  353.43,   5.70
      32/ 0,        35.89, 1914.46,   0.00,  765.54,   89.77,   0.00,  191.35,  359.13,   0.00
