mixbench (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              Fiji
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Compute Capability:  2.0
Total SPs:           2048 (64 MPs x 32 SPs/MP)
Compute throughput:  4096.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1024.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4294967296, free 4294967296
Buffer size: 256MB
Trade-off type:compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,     0.250,   10.99,    3.05,  12.22,      0.125,   11.21,    2.99,  23.94,     0.250,    9.77,    3.43,  13.73
            1,     0.750,    9.37,   10.74,  14.33,      0.375,    9.78,   10.29,  27.43,     0.750,    8.50,   11.84,  15.79
            2,     1.250,    8.26,   20.30,  16.24,      0.625,    9.05,   18.54,  29.67,     1.250,    7.64,   21.97,  17.58
            3,     1.750,    7.49,   31.34,  17.91,      0.875,    8.93,   26.31,  30.07,     1.750,    7.00,   33.57,  19.18
            4,     2.250,    6.92,   43.66,  19.40,      1.125,    8.98,   33.62,  29.88,     2.250,    6.49,   46.55,  20.69
            5,     2.750,    6.47,   57.07,  20.75,      1.375,    9.15,   40.35,  29.35,     2.750,    6.19,   59.66,  21.70
            6,     3.250,    5.77,   75.56,  23.25,      1.625,    9.49,   45.98,  28.30,     3.250,    6.01,   72.57,  22.33
            7,     3.750,    5.61,   89.72,  23.93,      1.875,  541.43,    0.93,   0.50,     3.750,   11.98,   42.01,  11.20
            8,     4.250,   10.97,   52.01,  12.24,      2.125,   15.33,   37.22,  17.51,     4.250,   10.51,   54.26,  12.77
            9,     4.750,    9.62,   66.26,  13.95,      2.375,   14.89,   42.82,  18.03,     4.750,    9.14,   69.74,  14.68
           10,     5.250,    8.33,   84.63,  16.12,      2.625,   14.33,   49.17,  18.73,     5.250,    7.68,   91.77,  17.48
           11,     5.750,    7.33,  105.27,  18.31,      2.875,   14.12,   54.65,  19.01,     5.750,    7.17,  107.70,  18.73
           12,     6.250,    7.02,  119.47,  19.11,      3.125,   14.32,   58.56,  18.74,     6.250,    6.87,  122.07,  19.53
           13,     6.750,    6.50,  139.34,  20.64,      3.375,   14.74,   61.47,  18.21,     6.750,    6.56,  138.16,  20.47
           14,     7.250,    6.27,  155.19,  21.41,      3.625,   15.07,   64.59,  17.82,     7.250,    6.23,  156.26,  21.55
           15,     7.750,    5.47,  190.17,  24.54,      3.875,   15.43,   67.42,  17.40,     7.750,    6.27,  165.87,  21.40
           16,     8.250,    5.47,  202.48,  24.54,      4.125,   15.87,   69.76,  16.91,     8.250,    6.42,  172.59,  20.92
           17,     8.750,    5.30,  221.55,  25.32,      4.375,   16.41,   71.57,  16.36,     8.750,    6.61,  177.60,  20.30
           18,     9.250,    5.46,  227.31,  24.57,      4.625,   16.60,   74.80,  16.17,     9.250,    6.66,  186.37,  20.15
           20,    10.250,    5.41,  254.27,  24.81,      5.125,   17.49,   78.65,  15.35,    10.250,    6.84,  201.22,  19.63
           22,    11.250,    5.31,  284.35,  25.28,      5.625,   18.42,   81.99,  14.58,    11.250,    6.93,  217.80,  19.36
           24,    12.250,    5.41,  304.07,  24.82,      6.125,   19.42,   84.68,  13.82,    12.250,    7.18,  229.06,  18.70
           28,    14.250,    5.34,  358.03,  25.12,      7.125,   20.87,   91.66,  12.86,    14.250,    7.15,  267.45,  18.77
           32,    16.250,    5.36,  406.72,  25.03,      8.125,   22.25,   98.04,  12.07,    16.250,    7.00,  311.42,  19.16
           40,    20.250,    5.46,  497.89,  24.59,     10.125,   25.44,  106.82,  10.55,    20.250,    7.31,  371.66,  18.35
           48,    24.250,    5.52,  589.57,  24.31,     12.125,   27.99,  116.27,   9.59,    24.250,    7.75,  419.74,  17.31
           56,    28.250,    5.64,  672.45,  23.80,     14.125,   29.98,  126.47,   8.95,    28.250,   15.09,  251.27,   8.89
           64,    32.250,   10.69,  404.90,  12.55,     16.125,   35.44,  122.15,   7.58,    32.250,   19.34,  223.84,   6.94
           80,    40.250,   11.96,  451.55,  11.22,     20.125,   40.84,  132.26,   6.57,    40.250,   21.50,  251.27,   6.24
           96,    48.250,   12.32,  525.84,  10.90,     24.125,   44.13,  146.74,   6.08,    48.250,   22.49,  287.95,   5.97
          128,    64.250,   13.63,  632.55,   9.85,     32.125,   52.04,  165.70,   5.16,    64.250,   27.76,  310.65,   4.84
          256,   128.250,   17.98,  957.33,   7.46,     64.125,   79.20,  217.34,   3.39,   128.250,   34.55,  498.15,   3.88
          512,   256.250,   22.82, 1507.10,   5.88,    128.125,  130.06,  264.45,   2.06,   256.250,   48.50,  709.15,   2.77
------------------------------------------------------------------------------------------------------------------------------
