mixbench (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              Fiji
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Compute Capability:  2.0
Total SPs:           2048 (64 MPs x 32 SPs/MP)
Compute throughput:  4096.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1024.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4294967296, free 4294967296
Buffer size: 256MB
Trade-off type:compute with global memory (grid strided)
--------------------------------------------------- CSV data --------------------------------------------------
Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
     0.000,  101.90,    0.00, 337.20,      0.000,  197.31,    0.00, 348.28,     0.000,  102.49,    0.00, 335.25
     0.065,  101.05,   21.25, 329.41,      0.032,  195.48,   10.99, 340.56,     0.065,  101.85,   21.08, 326.82
     0.133,   97.44,   44.08, 330.60,      0.067,  188.16,   22.83, 342.40,     0.133,   97.98,   43.84, 328.76
     0.207,   95.24,   67.65, 326.96,      0.103,  181.69,   35.46, 342.76,     0.207,   95.32,   67.59, 326.67
     0.286,   91.90,   93.47, 327.16,      0.143,  177.08,   48.51, 339.56,     0.286,   92.06,   93.31, 326.58
     0.370,   89.18,  120.41, 325.10,      0.185,  173.58,   61.86, 334.05,     0.370,   89.41,  120.10, 324.26
     0.462,   85.97,  149.87, 324.73,      0.231,  168.62,   76.41, 331.13,     0.462,   86.15,  149.56, 324.05
     0.560,   83.76,  179.48, 320.50,      0.280,  163.41,   91.99, 328.54,     0.560,   84.47,  177.95, 317.77
     0.667,   81.04,  212.00, 318.00,      0.333,  158.89,  108.12, 324.37,     0.667,   81.47,  210.86, 316.30
     0.783,   77.94,  247.99, 316.87,      0.391,  155.03,  124.67, 318.60,     0.783,   78.65,  245.75, 314.02
     0.909,   73.99,  290.23, 319.26,      0.455,  147.98,  145.12, 319.26,     0.909,   74.38,  288.72, 317.59
     1.048,   71.62,  329.81, 314.82,      0.524,  149.00,  158.54, 302.66,     1.048,   73.17,  322.86, 308.18
     1.200,   67.72,  380.54, 317.12,      0.600,  138.53,  186.02, 310.04,     1.200,   70.54,  365.31, 304.42
     1.368,   65.58,  425.68, 311.07,      0.684,  136.65,  204.29, 298.58,     1.368,   69.83,  399.81, 292.17
     1.556,   62.07,  484.38, 311.39,      0.778,  133.63,  224.99, 289.28,     1.556,   69.67,  431.54, 277.42
     1.765,   58.97,  546.23, 309.53,      0.882,  136.78,  235.51, 266.91,     1.765,   65.80,  489.58, 277.43
     2.000,   60.99,  563.35, 281.68,      1.000,  142.58,  240.99, 240.99,     2.000,   65.23,  526.79, 263.39
     2.267,   58.36,  625.58, 275.99,      1.133,  147.90,  246.84, 217.80,     2.267,   64.10,  569.55, 251.27
     2.571,   54.66,  707.14, 275.00,      1.286,  153.66,  251.56, 195.66,     2.571,   62.50,  618.44, 240.51
     2.923,   52.37,  779.12, 266.54,      1.462,  158.73,  257.06, 175.88,     2.923,   63.22,  645.40, 220.80
     3.333,   48.37,  887.88, 266.37,      1.667,  164.74,  260.71, 156.43,     3.333,   63.54,  675.99, 202.80
     3.818,   46.86,  962.36, 252.05,      1.909,  170.06,  265.18, 138.90,     3.818,   64.48,  699.42, 183.18
     4.400,   44.01, 1073.39, 243.95,      2.200,  175.94,  268.53, 122.06,     4.400,   65.41,  722.25, 164.15
     5.111,   39.69, 1244.59, 243.51,      2.556,  181.33,  272.39, 106.59,     5.111,   65.62,  752.69, 147.27
     6.000,   38.78, 1328.87, 221.48,      3.000,  186.30,  276.64,  92.21,     6.000,   65.63,  785.27, 130.88
     7.143,   36.81, 1458.40, 204.18,      3.571,  191.09,  280.95,  78.67,     7.143,   66.49,  807.46, 113.04
     8.667,   35.93, 1554.14, 179.32,      4.333,  197.09,  283.30,  65.38,     8.667,   67.43,  828.00,  95.54
    10.800,   34.82, 1665.32, 154.20,      5.400,  202.14,  286.84,  53.12,    10.800,   67.69,  856.62,  79.32
    14.000,   34.41, 1747.30, 124.81,      7.000,  208.12,  288.92,  41.27,    14.000,   68.00,  884.22,  63.16
    19.333,   33.14, 1879.28,  97.20,      9.667,  214.27,  290.64,  30.07,    19.333,   68.17,  913.56,  47.25
    30.000,   32.55, 1979.25,  65.97,     15.000,  219.11,  294.03,  19.60,    30.000,   69.62,  925.37,  30.85
    62.000,   31.51, 2112.67,  34.08,     31.000,  224.15,  297.00,   9.58,    62.000,   41.75, 1594.59,  25.72
       inf,   30.41, 2259.54,   0.00,        inf,  229.20,  299.82,   0.00,       inf,   42.13, 1631.11,   0.00
---------------------------------------------------------------------------------------------------------------
