mixbench (compute & memory balancing GPU microbenchmark)
------------------------ Device specifications ------------------------
Device:              GeForce GTX TITAN X
CUDA driver version: 0.4
GPU clock rate:      1076 MHz
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    12287 MB
Compute Capability:  5.2
Total SPs:           3072 (24 MPs x 128 SPs/MP)
Compute throughput:  6610.94 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1024.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12884705280, free 12742627328
Buffer size: 256MB
Trade-off type:compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,     0.250,    0.48,   70.47, 281.88,      0.125,    0.94,   35.70, 285.61,     0.250,    0.48,   70.22, 280.89
            1,     0.750,    0.48,  210.71, 280.95,      0.375,    0.95,  106.18, 283.16,     0.750,    0.47,  211.98, 282.64
            2,     1.250,    0.48,  351.28, 281.03,      0.625,    0.99,  169.73, 271.57,     1.250,    0.48,  350.79, 280.63
            3,     1.750,    0.48,  492.49, 281.42,      0.875,    1.33,  176.66, 201.89,     1.750,    0.48,  490.48, 280.27
            4,     2.250,    0.48,  633.20, 281.42,      1.125,    1.68,  180.22, 160.20,     2.250,    0.48,  632.31, 281.03
            5,     2.750,    0.48,  773.86, 281.40,      1.375,    2.03,  181.43, 131.95,     2.750,    0.48,  770.75, 280.27
            6,     3.250,    0.48,  914.19, 281.29,      1.625,    2.39,  182.30, 112.18,     3.250,    0.48,  909.25, 279.77
            7,     3.750,    0.48, 1050.75, 280.20,      1.875,    2.75,  183.06,  97.63,     3.750,    0.48, 1050.26, 280.07
            8,     4.250,    0.48, 1194.60, 281.08,      2.125,    3.11,  183.43,  86.32,     4.250,    0.48, 1181.92, 278.10
            9,     4.750,    0.48, 1337.47, 281.57,      2.375,    3.46,  184.05,  77.50,     4.750,    0.48, 1329.17, 279.83
           10,     5.250,    0.48, 1477.66, 281.46,      2.625,    3.82,  184.26,  70.20,     5.250,    0.49, 1448.69, 275.94
           11,     5.750,    0.48, 1617.85, 281.36,      2.875,    4.18,  184.42,  64.15,     5.750,    0.49, 1573.92, 273.73
           12,     6.250,    0.48, 1752.77, 280.44,      3.125,    4.54,  184.84,  59.15,     6.250,    0.52, 1625.90, 260.14
           13,     6.750,    0.48, 1899.34, 281.38,      3.375,    4.90,  184.90,  54.78,     6.750,    0.54, 1665.58, 246.75
           14,     7.250,    0.48, 2036.75, 280.93,      3.625,    5.25,  185.18,  51.08,     7.250,    0.57, 1701.00, 234.62
           15,     7.750,    0.48, 2170.96, 280.12,      3.875,    5.61,  185.48,  47.87,     7.750,    0.60, 1725.82, 222.69
           16,     8.250,    0.48, 2316.13, 280.74,      4.125,    5.97,  185.57,  44.99,     8.250,    0.63, 1748.16, 211.90
           17,     8.750,    0.48, 2441.47, 279.03,      4.375,    6.32,  185.76,  42.46,     8.750,    0.67, 1761.80, 201.35
           18,     9.250,    0.48, 2596.35, 280.69,      4.625,    6.68,  185.85,  40.18,     9.250,    0.70, 1767.61, 191.09
           20,    10.250,    0.48, 2868.02, 279.81,      5.125,    7.39,  186.05,  36.30,    10.250,    0.77, 1789.23, 174.56
           22,    11.250,    0.48, 3148.25, 279.84,      5.625,    8.10,  186.44,  33.15,    11.250,    0.84, 1805.26, 160.47
           24,    12.250,    0.48, 3428.09, 279.84,      6.125,    8.82,  186.39,  30.43,    12.250,    0.91, 1816.58, 148.29
           28,    14.250,    0.48, 3982.73, 279.49,      7.125,   10.24,  186.75,  26.21,    14.250,    1.04, 1833.29, 128.65
           32,    16.250,    0.48, 4526.03, 278.52,      8.125,   11.66,  187.01,  23.02,    16.250,    1.17, 1863.85, 114.70
           40,    20.250,    0.54, 5058.34, 249.79,     10.125,   14.52,  187.23,  18.49,    20.250,    1.44, 1882.46,  92.96
           48,    24.250,    0.62, 5267.04, 217.20,     12.125,   17.37,  187.40,  15.46,    24.250,    1.72, 1889.01,  77.90
           56,    28.250,    0.70, 5392.73, 190.89,     14.125,   20.22,  187.51,  13.27,    28.250,    2.00, 1898.83,  67.22
           64,    32.250,    0.78, 5516.12, 171.04,     16.125,   22.40,  193.22,  11.98,    32.250,    2.06, 2099.53,  65.10
           80,    40.250,    0.88, 6165.84, 153.19,     20.125,   25.84,  209.09,  10.39,    40.250,    2.59, 2085.73,  51.82
           96,    48.250,    1.20, 5413.85, 112.20,     24.125,   30.87,  209.79,   8.70,    48.250,    3.18, 2034.90,  42.17
          128,    64.250,    1.57, 5478.32,  85.27,     32.125,   41.20,  209.31,   6.52,    64.250,    4.22, 2045.37,  31.83
          256,   128.250,    3.08, 5588.02,  43.57,     64.125,   80.10,  214.90,   3.35,   128.250,    7.79, 2211.07,  17.24
          512,   256.250,    5.69, 6048.61,  23.60,    128.125,  154.34,  222.84,   1.74,   256.250,   15.50, 2219.28,   8.66
------------------------------------------------------------------------------------------------------------------------------
