mixbench-hip/alternating (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Fiji
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Total SPs:           4096 (64 MPs x 64 SPs/MP)
Compute throughput:  8192.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    512.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4294967296, free 4294967296
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,   24.47,    0.00, 351.01,      0.000,   50.78,    0.00, 338.34,     0.000,   25.27,    0.00, 339.87
            1,      0.129,   25.34,   42.37, 328.38,      0.065,   49.89,   21.52, 333.60,     0.129,   25.36,   42.33, 328.08
            2,      0.267,   25.19,   85.25, 319.69,      0.133,   48.68,   44.11, 330.84,     0.267,   25.34,   84.74, 317.76
            3,      0.414,   25.15,  128.09, 309.56,      0.207,   48.20,   66.83, 323.01,     0.414,   24.68,  130.53, 315.45
            4,      0.571,   23.29,  184.39, 322.67,      0.286,   46.28,   92.81, 324.82,     0.571,   23.40,  183.54, 321.20
            5,      0.741,   22.45,  239.10, 322.79,      0.370,   45.97,  116.78, 315.31,     0.741,   22.49,  238.71, 322.26
            6,      0.923,   22.32,  288.60, 312.65,      0.462,   44.32,  145.37, 314.96,     0.923,   21.73,  296.50, 321.21
            7,      1.120,   21.70,  346.31, 309.21,      0.560,   43.14,  174.24, 311.15,     1.120,   21.54,  349.00, 311.61
            8,      1.333,   21.01,  408.85, 306.64,      0.667,   41.80,  205.49, 308.24,     1.333,   21.43,  400.90, 300.67
            9,      1.565,   20.60,  469.02, 299.65,      0.783,   38.74,  249.46, 318.76,     1.565,   20.21,  478.19, 305.51
           10,      1.818,   20.15,  532.98, 293.14,      0.909,   42.92,  250.19, 275.21,     1.818,   20.30,  528.95, 290.93
           11,      2.095,   20.25,  583.39, 278.43,      1.048,   44.45,  265.70, 253.62,     2.095,   20.01,  590.21, 281.69
           12,      2.400,   19.70,  653.96, 272.48,      1.200,   46.23,  278.74, 232.29,     2.400,   19.54,  659.56, 274.82
           13,      2.737,   18.97,  735.65, 268.79,      1.368,   48.84,  285.80, 208.85,     2.737,   18.36,  760.11, 277.73
           14,      3.111,   18.41,  816.62, 262.48,      1.556,   50.54,  297.41, 191.19,     3.111,   18.46,  814.48, 261.80
           15,      3.529,   17.08,  942.73, 267.11,      1.765,   56.23,  286.43, 162.31,     3.529,   15.32, 1051.45, 297.91
           16,      4.000,   12.73, 1349.11, 337.28,      2.000,   58.09,  295.73, 147.86,     4.000,   15.55, 1105.00, 276.25
           17,      4.533,   12.79, 1426.69, 314.71,      2.267,   59.43,  307.17, 135.51,     4.533,   16.14, 1130.78, 249.44
           18,      5.143,   11.90, 1624.82, 315.94,      2.571,   69.55,  277.90, 108.07,     5.143,   17.38, 1112.34, 216.29
           19,      5.846,   12.11, 1684.00, 288.05,      2.923,   70.00,  291.44,  99.70,     5.846,   17.66, 1155.02, 197.57
           20,      6.667,   10.67, 2013.54, 302.03,      3.333,   70.34,  305.31,  91.59,     6.667,   17.47, 1229.27, 184.39
           21,      7.636,   10.26, 2198.76, 287.93,      3.818,   71.95,  313.40,  82.08,     7.636,   17.56, 1284.26, 168.18
           22,      8.800,    8.63, 2736.28, 310.94,      4.400,   81.96,  288.23,  65.51,     8.800,   19.04, 1240.58, 140.98
           23,     10.222,    9.02, 2739.33, 267.98,      5.111,   82.50,  299.36,  58.57,    10.222,   18.66, 1323.34, 129.46
           24,     12.000,    6.73, 3827.06, 318.92,      6.000,   82.41,  312.70,  52.12,    12.000,   18.89, 1364.15, 113.68
           25,     14.286,    5.67, 4736.14, 331.53,      7.143,   85.48,  314.04,  43.97,    14.286,   19.56, 1372.51,  96.08
           26,     17.333,    5.88, 4744.10, 273.70,      8.667,   88.78,  314.44,  36.28,    17.333,   20.02, 1394.33,  80.44
           27,     21.600,    5.68, 5103.96, 236.29,     10.800,   89.65,  323.40,  29.94,    21.600,   20.13, 1439.93,  66.66
           28,     28.000,    5.36, 5612.16, 200.43,     14.000,   96.02,  313.12,  22.37,    28.000,   20.91, 1437.71,  51.35
           29,     38.667,    5.40, 5762.36, 149.03,     19.333,   96.18,  323.74,  16.75,    38.667,   20.77, 1499.55,  38.78
           30,     60.000,    5.06, 6362.88, 106.05,     30.000,   99.28,  324.47,  10.82,    60.000,   21.24, 1516.60,  25.28
           31,    124.000,    9.33, 3567.72,  28.77,     62.000,  102.06,  326.14,   5.26,   124.000,   21.35, 1558.86,  12.57
           32,        inf,    4.74, 7246.35,   0.00,        inf,  102.19,  336.23,   0.00,       inf,   21.89, 1569.80,   0.00
---------------------------------------------------------- CSV data ----------------------------------------------------------
