mixbench-hip/alternating (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Fiji
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Total SPs:           4096 (64 MPs x 64 SPs/MP)
Compute throughput:  8192.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    512.00 GB/sec
-----------------------------------------------------------------------
deviceMemSize=0
Total GPU memory 4294967296, free 4294967296
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,   26.05,    0.00, 329.70,      0.000,   50.87,    0.00, 337.74,     0.000,   25.07,    0.00, 342.67
            1,      0.129,   25.14,   42.71, 331.03,      0.065,   50.39,   21.31, 330.28,     0.129,   25.36,   42.34, 328.11
            2,      0.267,   24.95,   86.06, 322.71,      0.133,   48.72,   44.08, 330.56,     0.267,   25.07,   85.65, 321.20
            3,      0.414,   25.22,  127.74, 308.70,      0.207,   47.85,   67.32, 325.36,     0.414,   24.99,  128.89, 311.49
            4,      0.571,   24.06,  178.49, 312.36,      0.286,   45.98,   93.41, 326.95,     0.571,   23.89,  179.76, 314.58
            5,      0.741,   22.16,  242.26, 327.06,      0.370,   45.63,  117.66, 317.69,     0.741,   22.21,  241.75, 326.36
            6,      0.923,   21.86,  294.70, 319.25,      0.462,   44.21,  145.72, 315.74,     0.923,   22.10,  291.55, 315.85
            7,      1.120,   21.89,  343.40, 306.61,      0.560,   43.86,  171.37, 306.03,     1.120,   21.20,  354.57, 316.58
            8,      1.333,   21.29,  403.51, 302.63,      0.667,   42.54,  201.93, 302.89,     1.333,   21.09,  407.27, 305.45
            9,      1.565,   20.29,  476.35, 304.33,      0.783,   41.36,  233.67, 298.58,     1.565,   20.64,  468.29, 299.19
           10,      1.818,   20.48,  524.20, 288.31,      0.909,   39.87,  269.32, 296.26,     1.818,   20.57,  521.97, 287.08
           11,      2.095,   20.36,  579.98, 276.81,      1.048,   44.67,  264.43, 252.41,     2.095,   20.01,  590.28, 281.72
           12,      2.400,   19.79,  650.95, 271.23,      1.200,   46.01,  280.05, 233.37,     2.400,   19.26,  668.84, 278.68
           13,      2.737,   18.96,  736.32, 269.04,      1.368,   47.97,  290.98, 212.64,     2.737,   18.43,  757.31, 276.71
           14,      3.111,   17.13,  877.39, 282.02,      1.556,   51.66,  290.97, 187.05,     3.111,   15.13,  993.26, 319.26
           15,      3.529,   18.93,  850.82, 241.07,      1.765,   56.15,  286.85, 162.55,     3.529,   15.33, 1050.63, 297.68
           16,      4.000,   12.84, 1338.43, 334.61,      2.000,   58.19,  295.23, 147.62,     4.000,   15.42, 1114.15, 278.54
           17,      4.533,   12.81, 1425.44, 314.44,      2.267,   59.59,  306.33, 135.14,     4.533,   15.96, 1143.90, 252.33
           18,      5.143,   11.95, 1617.62, 314.54,      2.571,   68.53,  282.01, 109.67,     5.143,   17.30, 1117.49, 217.29
           19,      5.846,   12.31, 1656.82, 283.40,      2.923,   69.84,  292.13,  99.94,     5.846,   17.02, 1199.00, 205.09
           20,      6.667,   11.06, 1940.82, 291.12,      3.333,   70.48,  304.69,  91.41,     6.667,   17.40, 1234.15, 185.12
           21,      7.636,   10.64, 2120.05, 277.63,      3.818,   71.62,  314.86,  82.46,     7.636,   17.67, 1275.79, 167.07
           22,      8.800,    8.90, 2654.31, 301.63,      4.400,   80.98,  291.69,  66.29,     8.800,   19.13, 1234.68, 140.30
           23,     10.222,    8.80, 2805.67, 274.47,      5.111,   81.11,  304.47,  59.57,    10.222,   18.52, 1333.48, 130.45
           24,     12.000,    6.70, 3847.29, 320.61,      6.000,   82.06,  314.05,  52.34,    12.000,   18.69, 1378.76, 114.90
           25,     14.286,    5.85, 4591.07, 321.38,      7.143,   89.02,  301.55,  42.22,    14.286,   19.55, 1373.29,  96.13
           26,     17.333,    5.83, 4785.22, 276.07,      8.667,   88.54,  315.30,  36.38,    17.333,   19.76, 1412.85,  81.51
           27,     21.600,    5.57, 5203.77, 240.92,     10.800,   89.33,  324.53,  30.05,    21.600,   20.11, 1441.45,  66.73
           28,     28.000,    5.42, 5551.31, 198.26,     14.000,   95.23,  315.71,  22.55,    28.000,   20.91, 1438.02,  51.36
           29,     38.667,    5.41, 5760.00, 148.97,     19.333,   95.60,  325.73,  16.85,    38.667,   20.76, 1499.83,  38.79
           30,     60.000,    5.12, 6288.78, 104.81,     30.000,  101.56,  317.17,  10.57,    60.000,   21.79, 1478.35,  24.64
           31,    124.000,    9.66, 3446.86,  27.80,     62.000,  101.26,  328.73,   5.30,   124.000,   21.35, 1559.08,  12.57
           32,        inf,    4.75, 7235.01,   0.00,        inf,  101.12,  339.80,   0.00,       inf,   21.92, 1567.52,   0.00
---------------------------------------------------------- CSV data ----------------------------------------------------------
