mixbench-hip/alternating (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Fiji [Radeon R9 FURY / NANO Series]
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Total SPs:           4096 (64 MPs x 64 SPs/MP)
Compute throughput:  8192.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    512.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4294967296, free 4294967296
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,   25.36,    0.00, 338.69,      0.000,   50.79,    0.00, 338.27,     0.000,   25.34,    0.00, 338.95
            1,      0.129,   25.20,   42.61, 330.24,      0.065,   50.89,   21.10, 327.06,     0.129,   25.16,   42.68, 330.74
            2,      0.267,   25.24,   85.10, 319.11,      0.133,   48.61,   44.17, 331.31,     0.267,   24.93,   86.14, 323.04
            3,      0.414,   24.13,  133.48, 322.58,      0.207,   48.35,   66.63, 322.04,     0.414,   25.13,  128.17, 309.73
            4,      0.571,   24.05,  178.58, 312.52,      0.286,   46.33,   92.71, 324.47,     0.571,   23.59,  182.08, 318.64
            5,      0.741,   22.85,  234.97, 317.21,      0.370,   45.65,  117.62, 317.56,     0.741,   22.52,  238.44, 321.89
            6,      0.923,   22.46,  286.80, 310.70,      0.462,   43.50,  148.10, 320.88,     0.923,   21.90,  294.22, 318.74
            7,      1.120,   21.39,  351.39, 313.75,      0.560,   43.86,  171.35, 305.99,     1.120,   20.98,  358.30, 319.92
            8,      1.333,   21.42,  401.00, 300.75,      0.667,   42.28,  203.19, 304.79,     1.333,   21.12,  406.80, 305.10
            9,      1.565,   20.49,  471.55, 301.27,      0.783,   41.13,  234.94, 300.20,     1.565,   20.76,  465.44, 297.36
           10,      1.818,   20.89,  514.04, 282.72,      0.909,   40.09,  267.82, 294.60,     1.818,   20.68,  519.12, 285.51
           11,      2.095,   20.65,  572.05, 273.02,      1.048,   38.74,  304.85, 290.99,     2.095,   19.93,  592.66, 282.86
           12,      2.400,   20.07,  642.14, 267.56,      1.200,   38.35,  336.02, 280.01,     2.400,   19.32,  666.99, 277.91
           13,      2.737,   18.88,  739.49, 270.20,      1.368,   34.78,  401.33, 293.28,     2.737,   18.61,  749.92, 274.01
           14,      3.111,   18.78,  800.31, 257.24,      1.556,   33.23,  452.36, 290.80,     3.111,   16.94,  887.61, 285.30
           15,      3.529,   18.27,  881.36, 249.72,      1.765,   35.33,  455.88, 258.33,     3.529,   16.59,  971.01, 275.12
           16,      4.000,   12.97, 1325.05, 331.26,      2.000,   37.09,  463.16, 231.58,     4.000,   13.60, 1263.37, 315.84
           17,      4.533,   14.95, 1220.89, 269.31,      2.267,   39.09,  466.94, 206.00,     4.533,   14.16, 1289.53, 284.46
           18,      5.143,   11.94, 1619.30, 314.86,      2.571,   40.98,  471.66, 183.42,     5.143,   14.63, 1321.16, 256.89
           19,      5.846,   12.61, 1617.28, 276.64,      2.923,   42.93,  475.17, 162.56,     5.846,   15.17, 1344.89, 230.05
           20,      6.667,   10.54, 2037.56, 305.63,      3.333,   44.79,  479.42, 143.83,     6.667,   15.56, 1380.21, 207.03
           21,      7.636,   10.51, 2146.07, 281.03,      3.818,   46.78,  482.02, 126.24,     7.636,   16.14, 1397.09, 182.95
           22,      8.800,    8.54, 2767.04, 314.44,      4.400,   48.61,  485.91, 110.43,     8.800,   16.57, 1425.71, 162.01
           23,     10.222,    9.09, 2716.68, 265.76,      5.111,   50.54,  488.65,  95.61,    10.222,   17.16, 1439.07, 140.78
           24,     12.000,    6.61, 3897.15, 324.76,      6.000,   52.33,  492.49,  82.08,    12.000,   17.50, 1472.42, 122.70
           25,     14.286,    6.74, 3983.03, 278.81,      7.143,   54.23,  494.98,  69.30,    14.286,   18.08, 1484.46, 103.91
           26,     17.333,    5.34, 5227.29, 301.57,      8.667,   56.34,  495.50,  57.17,    17.333,   18.59, 1501.37,  86.62
           27,     21.600,    5.16, 5619.12, 260.14,     10.800,   58.12,  498.85,  46.19,    21.600,   19.17, 1512.65,  70.03
           28,     28.000,    4.80, 6269.28, 223.90,     14.000,   60.05,  500.63,  35.76,    28.000,   19.48, 1543.29,  55.12
           29,     38.667,    4.98, 6256.46, 161.81,     19.333,   61.86,  503.34,  26.03,    38.667,   20.09, 1550.29,  40.09
           30,     60.000,    4.78, 6733.29, 112.22,     30.000,   63.72,  505.56,  16.85,    60.000,   20.54, 1568.24,  26.14
           31,    124.000,    9.55, 3484.39,  28.10,     62.000,   65.39,  509.06,   8.21,   124.000,   20.65, 1611.54,  13.00
           32,        inf,    4.46, 7711.77,   0.00,        inf,   67.34,  510.22,   0.00,       inf,   21.22, 1619.25,   0.00
---------------------------------------------------------- CSV data ----------------------------------------------------------
