mixbench-hip/alternating (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Device 67ef
CUDA driver version: 0.4
GPU clock rate:      1210 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    2048 MB
Total SPs:           896 (14 MPs x 64 SPs/MP)
Compute throughput:  2168.32 GFlops (theoretical single precision FMAs)
Memory bandwidth:    56.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 2147483648, free 2147483648
Buffer size:          64MB
Trade-off type:       compute with global memory (block strided)
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.000,  153.02,    0.00,  56.13,      0.000,  216.03,    0.00,  79.53,     0.000,   94.08,    0.00,  91.30
            1,      0.129,   92.00,   11.67,  90.45,      0.065,  210.72,    5.10,  78.98,     0.129,   91.86,   11.69,  90.59
            2,      0.267,   88.83,   24.17,  90.65,      0.133,  203.33,   10.56,  79.21,     0.267,   88.94,   24.15,  90.54
            3,      0.414,   86.65,   37.18,  89.84,      0.207,  198.15,   16.26,  78.57,     0.414,   86.68,   37.16,  89.81
            4,      0.571,   83.30,   51.56,  90.23,      0.286,  191.12,   22.47,  78.66,     0.571,   83.72,   51.30,  89.78
            5,      0.741,   81.04,   66.25,  89.43,      0.370,  185.59,   28.93,  78.10,     0.741,   81.49,   65.88,  88.94
            6,      0.923,   77.93,   82.67,  89.55,      0.462,  177.32,   36.33,  78.72,     0.923,   78.21,   82.38,  89.24
            7,      1.120,   75.66,   99.34,  88.70,      0.560,  171.01,   43.95,  78.49,     1.120,   75.97,   98.94,  88.34
            8,      1.333,   72.72,  118.12,  88.59,      0.667,  163.32,   52.59,  78.89,     1.333,   72.70,  118.15,  88.61
            9,      1.565,   70.66,  136.76,  87.38,      0.783,  154.79,   62.43,  79.77,     1.565,   70.32,  137.43,  87.80
           10,      1.818,   67.69,  158.62,  87.24,      0.909,  146.80,   73.14,  80.46,     1.818,   67.27,  159.62,  87.79
           11,      2.095,   65.32,  180.83,  86.30,      1.048,  138.82,   85.08,  81.21,     2.095,   65.03,  181.63,  86.69
           12,      2.400,   62.35,  206.65,  86.10,      1.200,  134.33,   95.92,  79.93,     2.400,   61.30,  210.20,  87.58
           13,      2.737,   60.21,  231.83,  84.71,      1.368,  122.41,  114.03,  83.33,     2.737,   58.46,  238.78,  87.25
           14,      3.111,   57.02,  263.63,  84.74,      1.556,  123.31,  121.91,  78.37,     3.111,   45.12,  333.18, 107.09
           15,      3.529,   54.60,  294.98,  83.58,      1.765,  131.11,  122.84,  69.61,     3.529,   47.32,  340.38,  96.44
           16,      4.000,   47.25,  363.63,  90.91,      2.000,  138.02,  124.47,  62.24,     4.000,   48.72,  352.60,  88.15
           17,      4.533,   43.63,  418.37,  92.29,      2.267,  145.88,  125.13,  55.20,     4.533,   51.04,  357.64,  78.89
           18,      5.143,   41.98,  460.39,  89.52,      2.571,  153.41,  125.98,  48.99,     5.143,   53.11,  363.92,  70.76
           19,      5.846,   38.35,  531.92,  90.99,      2.923,  161.21,  126.55,  43.29,     5.846,   55.49,  367.65,  62.89
           20,      6.667,   36.83,  583.12,  87.47,      3.333,  168.45,  127.48,  38.25,     6.667,   57.19,  375.51,  56.33
           21,      7.636,   32.37,  696.67,  91.23,      3.818,  176.27,  127.92,  33.50,     7.636,   59.60,  378.30,  49.54
           22,      8.800,   30.02,  786.94,  89.43,      4.400,  183.46,  128.76,  29.26,     8.800,   61.29,  385.44,  43.80
           23,     10.222,   25.91,  953.19,  93.25,      5.111,  191.27,  129.12,  25.26,    10.222,   63.85,  386.77,  37.84
           24,     12.000,   24.07, 1070.41,  89.20,      6.000,  198.18,  130.03,  21.67,    12.000,   65.18,  395.38,  32.95
           25,     14.286,   18.63, 1440.59, 100.84,      7.143,  206.40,  130.05,  18.21,    14.286,   67.57,  397.24,  27.81
           26,     17.333,   18.34, 1522.04,  87.81,      8.667,  214.02,  130.44,  15.05,    17.333,   69.61,  401.04,  23.14
           27,     21.600,   18.60, 1558.30,  72.14,     10.800,  221.71,  130.76,  12.11,    21.600,   71.98,  402.78,  18.65
           28,     28.000,   58.27,  515.92,  18.43,     14.000,  228.11,  131.80,   9.41,    28.000,   73.30,  410.16,  14.65
           29,     38.667,   27.72, 1123.13,  29.05,     19.333,  236.09,  131.89,   6.82,    38.667,   75.69,  411.40,  10.64
           30,     60.000,   17.16, 1876.75,  31.28,     30.000,  243.27,  132.41,   4.41,    60.000,   77.45,  415.92,   6.93
           31,    124.000,   15.95, 2086.80,  16.83,     62.000,  249.46,  133.43,   2.15,   124.000,   78.18,  425.75,   3.43
           32,        inf,   16.31, 2106.70,   0.00,        inf,  257.32,  133.53,   0.00,       inf,   80.53,  426.65,   0.00
---------------------------------------------------------- CSV data ----------------------------------------------------------
