mixbench-hip/read-only (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Fiji
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Total SPs:           4096 (64 MPs x 64 SPs/MP)
Compute throughput:  8192.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    512.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4294967296, free 4294967296
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.41,   81.63, 326.53,      0.125,    0.88,   38.25, 306.01,     0.250,    0.34,   98.82, 395.29
            1,      0.750,    0.34,  296.57, 395.43,      0.375,    0.66,  152.22, 405.91,     0.750,    0.36,  282.14, 376.18
            2,      1.250,    0.34,  494.33, 395.47,      0.625,    0.70,  238.95, 382.32,     1.250,    0.36,  471.97, 377.58
            3,      1.750,    0.34,  690.45, 394.54,      0.875,    0.89,  262.53, 300.03,     1.750,    0.36,  661.34, 377.91
            4,      2.250,    0.34,  884.90, 393.29,      1.125,    1.11,  270.95, 240.84,     2.250,    0.36,  838.62, 372.72
            5,      2.750,    0.34, 1083.27, 393.92,      1.375,    1.34,  275.47, 200.34,     2.750,    0.37,  991.37, 360.50
            6,      3.250,    0.35, 1233.71, 379.60,      1.625,    1.56,  278.84, 171.59,     3.250,    0.40, 1081.56, 332.79
            7,      3.750,    0.33, 1515.44, 404.12,      1.875,    1.73,  291.68, 155.56,     3.750,    0.44, 1154.77, 307.94
            8,      4.250,    0.33, 1704.19, 400.99,      2.125,    1.94,  293.67, 138.20,     4.250,    0.48, 1194.28, 281.01
            9,      4.750,    0.33, 1918.86, 403.97,      2.375,    2.16,  295.29, 124.33,     4.750,    0.52, 1223.93, 257.67
           10,      5.250,    0.34, 2096.74, 399.38,      2.625,    2.37,  296.94, 113.12,     5.250,    0.55, 1292.67, 246.22
           11,      5.750,    0.32, 2382.15, 414.29,      2.875,    2.49,  309.71, 107.73,     5.750,    0.58, 1322.36, 229.98
           12,      6.250,    0.32, 2591.11, 414.58,      3.125,    2.70,  310.88,  99.48,     6.250,    0.63, 1334.99, 213.60
           13,      6.750,    0.32, 2792.86, 413.76,      3.375,    2.91,  311.50,  92.30,     6.750,    0.66, 1379.77, 204.41
           14,      7.250,    0.32, 3063.03, 422.49,      3.625,    3.03,  320.64,  88.45,     7.250,    0.69, 1404.70, 193.75
           15,      7.750,    0.32, 3296.59, 425.37,      3.875,    3.24,  321.51,  82.97,     7.750,    0.74, 1410.95, 182.06
           16,      8.250,    0.31, 3515.61, 426.13,      4.125,    3.38,  327.20,  79.32,     8.250,    0.75, 1471.20, 178.33
           17,      8.750,    0.32, 3700.09, 422.87,      4.375,    3.53,  333.00,  76.11,     8.750,    0.80, 1475.98, 168.68
           18,      9.250,    0.32, 3906.05, 422.28,      4.625,    3.72,  333.36,  72.08,     9.250,    0.84, 1486.02, 160.65
           20,     10.250,    0.32, 4341.64, 423.57,      5.125,    4.12,  334.09,  65.19,    10.250,    0.92, 1502.51, 146.59
           22,     11.250,    0.32, 4769.27, 423.93,      5.625,    4.51,  334.80,  59.52,    11.250,    1.00, 1515.96, 134.75
           24,     12.250,    0.32, 5203.97, 424.81,      6.125,    4.90,  335.25,  54.73,    12.250,    1.08, 1523.20, 124.34
           28,     14.250,    0.34, 5706.37, 400.45,      7.125,    5.84,  327.47,  45.96,    14.250,    1.27, 1501.95, 105.40
           32,     16.250,    0.36, 6055.38, 372.64,      8.125,    6.62,  329.24,  40.52,    16.250,    1.43, 1520.72,  93.58
           40,     20.250,    0.42, 6482.79, 320.14,     10.125,    8.20,  331.46,  32.74,    20.250,    1.76, 1545.22,  76.31
           48,     24.250,    0.49, 6656.66, 274.50,     12.125,    9.77,  333.06,  27.47,    24.250,    2.09, 1559.01,  64.29
           56,     28.250,    0.55, 6836.94, 242.02,     14.125,   11.34,  334.33,  23.67,    28.250,    2.41, 1570.59,  55.60
           64,     32.250,    0.62, 6970.22, 216.13,     16.125,   12.92,  335.07,  20.78,    32.250,    2.74, 1577.67,  48.92
           80,     40.250,    0.76, 7136.16, 177.30,     20.125,   16.06,  336.31,  16.71,    40.250,    3.39, 1595.58,  39.64
           96,     48.250,    0.89, 7263.39, 150.54,     24.125,   19.21,  337.10,  13.97,    48.250,    4.05, 1597.74,  33.11
          128,     64.250,    1.16, 7428.82, 115.62,     32.125,   25.49,  338.31,  10.53,    64.250,    5.49, 1569.97,  24.44
          256,    128.250,    2.35, 7314.44,  57.03,     64.125,   50.81,  338.75,   5.28,   128.250,   10.89, 1581.05,  12.33
          512,    256.250,    4.62, 7447.13,  29.06,    128.125,  101.25,  339.69,   2.65,   256.250,   21.49, 1600.45,   6.25
------------------------------------------------------------------------------------------------------------------------------
