mixbench-hip/read-only (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Fiji
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Total SPs:           4096 (64 MPs x 64 SPs/MP)
Compute throughput:  8192.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    512.00 GB/sec
-----------------------------------------------------------------------
deviceMemSize=0
Total GPU memory 4294967296, free 4294967296
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.46,   72.63, 290.53,      0.125,    0.93,   36.22, 289.77,     0.250,    0.45,   73.78, 295.11
            1,      0.750,    0.39,  255.73, 340.97,      0.375,    0.72,  140.11, 373.64,     0.750,    0.41,  244.00, 325.33
            2,      1.250,    0.39,  427.63, 342.11,      0.625,    0.75,  222.40, 355.85,     1.250,    0.40,  417.61, 334.09
            3,      1.750,    0.39,  600.64, 343.22,      0.875,    0.93,  252.60, 288.68,     1.750,    0.40,  587.99, 336.00
            4,      2.250,    0.39,  768.92, 341.74,      1.125,    1.15,  262.07, 232.95,     2.250,    0.40,  748.28, 332.57
            5,      2.750,    0.39,  941.72, 342.45,      1.375,    1.39,  265.97, 193.43,     2.750,    0.41,  894.29, 325.20
            6,      3.250,    0.40, 1092.52, 336.16,      1.625,    1.60,  272.46, 167.67,     3.250,    0.44,  987.35, 303.80
            7,      3.750,    0.39, 1291.14, 344.30,      1.875,    1.76,  285.53, 152.28,     3.750,    0.48, 1052.11, 280.56
            8,      4.250,    0.38, 1508.42, 354.92,      2.125,    1.99,  286.72, 134.93,     4.250,    0.53, 1072.57, 252.37
            9,      4.750,    0.39, 1630.05, 343.17,      2.375,    2.21,  288.72, 121.56,     4.750,    0.56, 1143.34, 240.70
           10,      5.250,    0.36, 1957.23, 372.81,      2.625,    2.35,  300.22, 114.37,     5.250,    0.56, 1247.99, 237.71
           11,      5.750,    0.35, 2194.58, 381.67,      2.875,    2.51,  307.51, 106.96,     5.750,    0.60, 1294.29, 225.09
           12,      6.250,    0.34, 2478.22, 396.52,      3.125,    2.71,  309.58,  99.07,     6.250,    0.63, 1326.26, 212.20
           13,      6.750,    0.33, 2707.14, 401.06,      3.375,    2.88,  314.83,  93.28,     6.750,    0.66, 1377.27, 204.04
           14,      7.250,    0.33, 2932.60, 404.50,      3.625,    3.06,  318.40,  87.84,     7.250,    0.70, 1389.89, 191.71
           15,      7.750,    0.32, 3204.58, 413.49,      3.875,    3.24,  321.01,  82.84,     7.750,    0.74, 1403.60, 181.11
           16,      8.250,    0.32, 3422.37, 414.83,      4.125,    3.34,  331.17,  80.28,     8.250,    0.76, 1465.77, 177.67
           17,      8.750,    0.32, 3714.74, 424.54,      4.375,    3.53,  332.86,  76.08,     8.750,    0.79, 1482.30, 169.41
           18,      9.250,    0.31, 4004.92, 432.96,      4.625,    3.72,  333.73,  72.16,     9.250,    0.84, 1481.03, 160.11
           20,     10.250,    0.31, 4381.97, 427.51,      5.125,    4.11,  334.41,  65.25,    10.250,    0.91, 1504.33, 146.76
           22,     11.250,    0.32, 4672.26, 415.31,      5.625,    4.51,  335.05,  59.57,    11.250,    1.00, 1514.71, 134.64
           24,     12.250,    0.33, 5007.32, 408.76,      6.125,    4.90,  335.44,  54.77,    12.250,    1.08, 1525.71, 124.55
           28,     14.250,    0.33, 5727.20, 401.91,      7.125,    5.84,  327.22,  45.93,    14.250,    1.26, 1517.35, 106.48
           32,     16.250,    0.37, 5942.41, 365.69,      8.125,    6.63,  329.19,  40.52,    16.250,    1.42, 1533.06,  94.34
           40,     20.250,    0.43, 6270.89, 309.67,     10.125,    8.20,  331.41,  32.73,    20.250,    1.77, 1537.04,  75.90
           48,     24.250,    0.50, 6462.81, 266.51,     12.125,    9.79,  332.44,  27.42,    24.250,    2.08, 1567.98,  64.66
           56,     28.250,    0.56, 6744.24, 238.73,     14.125,   11.34,  334.41,  23.67,    28.250,    2.41, 1575.46,  55.77
           64,     32.250,    0.63, 6851.21, 212.44,     16.125,   12.90,  335.42,  20.80,    32.250,    2.75, 1576.52,  48.88
           80,     40.250,    0.77, 6981.06, 173.44,     20.125,   16.05,  336.59,  16.73,    40.250,    3.39, 1594.75,  39.62
           96,     48.250,    0.91, 7144.68, 148.08,     24.125,   19.21,  337.10,  13.97,    48.250,    4.04, 1602.05,  33.20
          128,     64.250,    1.18, 7328.92, 114.07,     32.125,   25.49,  338.33,  10.53,    64.250,    5.50, 1568.66,  24.41
          256,    128.250,    2.34, 7348.42,  57.30,     64.125,   50.81,  338.80,   5.28,   128.250,   10.91, 1578.02,  12.30
          512,    256.250,    4.60, 7478.50,  29.18,    128.125,  101.25,  339.69,   2.65,   256.250,   21.50, 1599.70,   6.24
------------------------------------------------------------------------------------------------------------------------------
