mixbench-hip/read-only (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Fiji [Radeon R9 FURY / NANO Series]
CUDA driver version: 0.4
GPU clock rate:      1000 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    4096 MB
Total SPs:           4096 (64 MPs x 64 SPs/MP)
Compute throughput:  8192.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    512.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4294967296, free 4294967296
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.31,  106.54, 426.15,      0.125,    0.60,   55.89, 447.13,     0.250,    0.31,  106.80, 427.19
            1,      0.750,    0.31,  322.40, 429.87,      0.375,    0.61,  164.77, 439.39,     0.750,    0.32,  312.31, 416.41
            2,      1.250,    0.31,  541.00, 432.80,      0.625,    0.60,  278.76, 446.02,     1.250,    0.32,  519.30, 415.44
            3,      1.750,    0.31,  767.43, 438.53,      0.875,    0.61,  385.11, 440.13,     1.750,    0.32,  728.44, 416.25
            4,      2.250,    0.30,  990.97, 440.43,      1.125,    0.71,  424.13, 377.00,     2.250,    0.33,  918.05, 408.02
            5,      2.750,    0.31, 1196.58, 435.12,      1.375,    0.84,  439.60, 319.71,     2.750,    0.34, 1097.68, 399.16
            6,      3.250,    0.30, 1437.21, 442.22,      1.625,    0.97,  449.66, 276.71,     3.250,    0.36, 1213.96, 373.53
            7,      3.750,    0.30, 1653.25, 440.87,      1.875,    1.10,  457.04, 243.75,     3.750,    0.40, 1269.90, 338.64
            8,      4.250,    0.30, 1882.98, 443.05,      2.125,    1.23,  463.60, 218.16,     4.250,    0.43, 1318.34, 310.20
            9,      4.750,    0.31, 2061.86, 434.08,      2.375,    1.36,  468.10, 197.09,     4.750,    0.47, 1357.90, 285.87
           10,      5.250,    0.31, 2267.75, 431.95,      2.625,    1.50,  469.16, 178.73,     5.250,    0.51, 1386.90, 264.17
           11,      5.750,    0.31, 2478.59, 431.06,      2.875,    1.63,  472.59, 164.38,     5.750,    0.55, 1410.18, 245.25
           12,      6.250,    0.31, 2694.39, 431.10,      3.125,    1.76,  475.43, 152.14,     6.250,    0.59, 1418.96, 227.03
           13,      6.750,    0.31, 2950.39, 437.09,      3.375,    1.90,  477.97, 141.62,     6.750,    0.63, 1437.60, 212.98
           14,      7.250,    0.31, 3105.77, 428.38,      3.625,    2.02,  482.41, 133.08,     7.250,    0.67, 1450.69, 200.10
           15,      7.750,    0.31, 3322.77, 428.74,      3.875,    2.15,  484.04, 124.91,     7.750,    0.71, 1464.86, 189.01
           16,      8.250,    0.32, 3510.06, 425.46,      4.125,    2.28,  485.46, 117.69,     8.250,    0.75, 1470.86, 178.29
           17,      8.750,    0.31, 3765.57, 430.35,      4.375,    2.41,  486.99, 111.31,     8.750,    0.79, 1480.52, 169.20
           18,      9.250,    0.31, 3967.58, 428.93,      4.625,    2.54,  488.44, 105.61,     9.250,    0.83, 1493.41, 161.45
           20,     10.250,    0.31, 4391.84, 428.47,      5.125,    2.81,  490.07,  95.62,    10.250,    0.91, 1507.11, 147.03
           22,     11.250,    0.32, 4779.46, 424.84,      5.625,    3.07,  492.32,  87.52,    11.250,    0.99, 1519.75, 135.09
           24,     12.250,    0.32, 5144.57, 419.96,      6.125,    3.33,  493.96,  80.65,    12.250,    1.07, 1530.08, 124.90
           28,     14.250,    0.33, 5776.00, 405.33,      7.125,    3.85,  496.48,  69.68,    14.250,    1.24, 1544.44, 108.38
           32,     16.250,    0.36, 6018.73, 370.38,      8.125,    4.38,  498.19,  61.32,    16.250,    1.40, 1556.04,  95.76
           40,     20.250,    0.43, 6300.50, 311.14,     10.125,    5.46,  497.37,  49.12,    20.250,    1.73, 1569.03,  77.48
           48,     24.250,    0.50, 6503.65, 268.19,     12.125,    6.62,  491.99,  40.58,    24.250,    2.07, 1570.87,  64.78
           56,     28.250,    0.56, 6746.57, 238.82,     14.125,    7.69,  493.14,  34.91,    28.250,    2.40, 1579.60,  55.91
           64,     32.250,    0.63, 6890.70, 213.66,     16.125,    8.72,  496.14,  30.77,    32.250,    2.73, 1587.39,  49.22
           80,     40.250,    0.77, 7052.91, 175.23,     20.125,   10.82,  499.25,  24.81,    40.250,    3.38, 1597.45,  39.69
           96,     48.250,    0.89, 7281.62, 150.91,     24.125,   12.91,  501.53,  20.79,    48.250,    4.04, 1603.98,  33.24
          128,     64.250,    1.16, 7439.35, 115.79,     32.125,   17.11,  503.91,  15.69,    64.250,    5.50, 1568.34,  24.41
          256,    128.250,    2.19, 7873.07,  61.39,     64.125,   33.90,  507.77,   7.92,   128.250,   10.74, 1602.67,  12.50
          512,    256.250,    4.30, 8001.77,  31.23,    128.125,   67.42,  510.15,   3.98,   256.250,   21.27, 1617.05,   6.31
------------------------------------------------------------------------------------------------------------------------------
