mixbench-hip/read-only (v0.02-7-g91ceeeb)
------------------------ Device specifications ------------------------
Device:              Device 67ef
CUDA driver version: 0.4
GPU clock rate:      1210 MHz
WarpSize:            64
L2 cache size:       0 KB
Total global mem:    2048 MB
Total SPs:           896 (14 MPs x 64 SPs/MP)
Compute throughput:  2168.32 GFlops (theoretical single precision FMAs)
Memory bandwidth:    56.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 2147483648, free 2147483648
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    8.24,    4.07,  16.29,      0.125,   16.28,    2.06,  16.49,     0.250,    8.22,    4.08,  16.32
            1,      0.750,    8.23,   12.23,  16.31,      0.375,   16.28,    6.18,  16.48,     0.750,    4.21,   23.91,  31.88
            2,      1.250,    1.51,  110.99,  88.79,      0.625,    2.83,   59.25,  94.80,     1.250,    1.47,  114.43,  91.54
            3,      1.750,    1.48,  158.79,  90.74,      0.875,    2.81,   83.70,  95.66,     1.750,    1.47,  159.38,  91.07
            4,      2.250,    1.48,  204.13,  90.72,      1.125,    3.04,   99.38,  88.34,     2.250,    1.47,  205.88,  91.50
            5,      2.750,    1.48,  249.64,  90.78,      1.375,    3.51,  105.10,  76.44,     2.750,    1.50,  246.02,  89.46
            6,      3.250,    1.48,  294.87,  90.73,      1.625,    3.99,  109.22,  67.21,     3.250,    1.62,  269.58,  82.95
            7,      3.750,    1.48,  340.24,  90.73,      1.875,    4.50,  111.91,  59.68,     3.750,    1.78,  282.73,  75.40
            8,      4.250,    1.48,  384.82,  90.55,      2.125,    4.99,  114.29,  53.79,     4.250,    1.93,  296.06,  69.66
            9,      4.750,    1.48,  430.79,  90.69,      2.375,    5.49,  116.04,  48.86,     4.750,    2.08,  306.81,  64.59
           10,      5.250,    1.48,  476.64,  90.79,      2.625,    5.99,  117.63,  44.81,     5.250,    2.23,  315.76,  60.15
           11,      5.750,    1.48,  520.48,  90.52,      2.875,    6.48,  119.09,  41.42,     5.750,    2.39,  322.96,  56.17
           12,      6.250,    1.48,  567.40,  90.78,      3.125,    6.98,  120.20,  38.46,     6.250,    2.55,  329.54,  52.73
           13,      6.750,    1.48,  613.19,  90.84,      3.375,    7.48,  121.20,  35.91,     6.750,    2.70,  335.36,  49.68
           14,      7.250,    1.48,  657.20,  90.65,      3.625,    7.97,  122.17,  33.70,     7.250,    2.86,  340.38,  46.95
           15,      7.750,    1.48,  703.91,  90.83,      3.875,    8.46,  122.93,  31.72,     7.750,    3.01,  345.24,  44.55
           16,      8.250,    1.48,  749.86,  90.89,      4.125,    8.97,  123.46,  29.93,     8.250,    3.16,  349.89,  42.41
           17,      8.750,    1.48,  792.36,  90.56,      4.375,    9.46,  124.18,  28.38,     8.750,    3.32,  353.53,  40.40
           18,      9.250,    1.48,  840.18,  90.83,      4.625,    9.95,  124.74,  26.97,     9.250,    3.48,  356.78,  38.57
           20,     10.250,    1.47,  933.28,  91.05,      5.125,   10.94,  125.72,  24.53,    10.250,    3.78,  363.51,  35.46
           22,     11.250,    1.48, 1022.55,  90.89,      5.625,   11.94,  126.47,  22.48,    11.250,    4.09,  369.25,  32.82
           24,     12.250,    1.51, 1090.94,  89.06,      6.125,   12.92,  127.26,  20.78,    12.250,    4.40,  373.84,  30.52
           28,     14.250,    1.52, 1255.66,  88.12,      7.125,   14.91,  128.30,  18.01,    14.250,    5.02,  381.13,  26.75
           32,     16.250,    1.63, 1337.38,  82.30,      8.125,   16.89,  129.10,  15.89,    16.250,    5.64,  386.67,  23.80
           40,     20.250,    1.87, 1450.82,  71.65,     10.125,   20.87,  130.25,  12.86,    20.250,    6.88,  395.16,  19.51
           48,     24.250,    2.12, 1534.92,  63.30,     12.125,   24.84,  131.03,  10.81,    24.250,    8.12,  400.68,  16.52
           56,     28.250,    2.38, 1595.43,  56.48,     14.125,   28.81,  131.60,   9.32,    28.250,    9.36,  404.96,  14.33
           64,     32.250,    2.62, 1653.02,  51.26,     16.125,   32.78,  132.03,   8.19,    32.250,   10.60,  408.18,  12.66
           80,     40.250,    3.12, 1729.73,  42.97,     20.125,   40.73,  132.64,   6.59,    40.250,   13.09,  412.81,  10.26
           96,     48.250,    3.61, 1792.02,  37.14,     24.125,   48.68,  133.05,   5.51,    48.250,   15.57,  415.98,   8.62
          128,     64.250,    4.61, 1869.30,  29.09,     32.125,   64.57,  133.56,   4.16,    64.250,   20.54,  419.86,   6.53
          256,    128.250,    8.64, 1991.53,  15.53,     64.125,  128.14,  134.33,   2.09,   128.250,   40.45,  425.53,   3.32
          512,    256.250,   16.70, 2059.35,   8.04,    128.125,  255.45,  134.64,   1.05,   256.250,   80.28,  428.41,   1.67
------------------------------------------------------------------------------------------------------------------------------
