mixbench-hip/read-only (v0.03-20-g8bb0598)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 5700 XT
CUDA driver version: 40421.432
GPU clock rate:      2100 MHz
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    8176 MB
Total SPs:           1280 (20 MPs x 64 SPs/MP)
Compute throughput:  5376.00 GFlops (theoretical single precision FMAs)
Memory bandwidth:    56.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8573157376, free 8573157376
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,,
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.30,  110.81, 443.25,      0.125,    0.61,   55.09, 440.69,      0.500,    0.30,  220.23, 440.46,     0.250,    0.31,  108.74, 434.98
            1,      0.750,    0.46,  218.79, 291.72,      0.375,    0.93,  108.07, 288.19,      1.500,    0.31,  647.43, 431.62,     0.750,    0.30,  330.17, 440.23
            2,      1.250,    0.31,  540.57, 432.45,      0.625,    0.62,  272.27, 435.63,      2.500,    0.30, 1104.48, 441.79,     1.250,    0.30,  550.57, 440.46
            3,      1.750,    0.30,  771.31, 440.75,      0.875,    0.62,  380.06, 434.36,      3.500,    0.30, 1547.29, 442.08,     1.750,    0.31,  768.08, 438.90
            4,      2.250,    0.30,  990.51, 440.23,      1.125,    0.63,  480.47, 427.09,      4.500,    0.31, 1979.72, 439.94,     2.250,    0.31,  977.17, 434.30
            5,      2.750,    0.30, 1211.73, 440.63,      1.375,    0.66,  562.23, 408.90,      5.500,    0.31, 2416.49, 439.36,     2.750,    0.31, 1186.49, 431.45
            6,      3.250,    0.30, 1433.37, 441.04,      1.625,    0.76,  571.03, 351.41,      6.500,    0.30, 2869.37, 441.44,     3.250,    0.31, 1402.40, 431.51
            7,      3.750,    0.30, 1655.19, 441.38,      1.875,    0.86,  587.02, 313.08,      7.500,    0.31, 3291.33, 438.84,     3.750,    0.55,  914.98, 243.99
            8,      4.250,    0.30, 1878.11, 441.91,      2.125,    0.96,  596.70, 280.80,      8.500,    0.31, 3735.55, 439.48,     4.250,    0.33, 1730.22, 407.11
