mixbench-ocl/read-only (v0.02-10-g79d284c)
Use "-h" argument to see available options
------------------------ Device specifications ------------------------
Platform:            QUALCOMM Snapdragon(TM)
Device:              QUALCOMM Adreno(TM)/QUALCOMM
Driver version:      OpenCL 2.0 QUALCOMM build: commit #19f8f74 changeid #Iac38d51750 Date: 06/06/16 Mon Local Branch: case2489916_Unmap_crash Remote Branch:  Compiler E031.29.00.03
Address bits:        64
GPU clock rate:      1 MHz
Total global mem:    2870 MB
Max allowed buffer:  717 MB
OpenCL version:      OpenCL 2.0 Adreno(TM) 530
Total CUs:           4
-----------------------------------------------------------------------
Buffer size:            256MB
Workgroup size:         256
Elements per workitem:  8
Workitem fusion degree: 4
Workitem stride:        NDRange
Buffer allocation:      Device allocated
Loading kernel source file...
Precompilation of kernels... [>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>]
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    6.94,    4.84,  19.34,      0.125,    0.00,     inf,    inf,     0.250,    6.72,    4.99,  19.97
            1,      0.750,    7.85,   12.82,  17.09,      0.375,    0.00,     inf,    inf,     0.750,    7.12,   14.13,  18.84
            2,      1.250,    8.03,   20.90,  16.72,      0.625,    0.00,     inf,    inf,     1.250,    7.81,   21.48,  17.18
            3,      1.750,    8.18,   28.70,  16.40,      0.875,    0.00,     inf,    inf,     1.750,    8.96,   26.21,  14.98
            4,      2.250,    8.34,   36.19,  16.08,      1.125,    0.00,     inf,    inf,     2.250,   10.23,   29.51,  13.12
            5,      2.750,    8.53,   43.30,  15.74,      1.375,    0.00,     inf,    inf,     2.750,   11.59,   31.85,  11.58
            6,      3.250,    8.71,   50.10,  15.42,      1.625,    0.00,     inf,    inf,     3.250,   12.78,   34.12,  10.50
            7,      3.750,    8.89,   56.62,  15.10,      1.875,    0.00,     inf,    inf,     3.750,   14.08,   35.75,   9.53
            8,      4.250,    9.07,   62.90,  14.80,      2.125,    0.00,     inf,    inf,     4.250,   15.49,   36.84,   8.67
            9,      4.750,    9.28,   68.73,  14.47,      2.375,    0.00,     inf,    inf,     4.750,   16.70,   38.18,   8.04
           10,      5.250,    9.47,   74.44,  14.18,      2.625,    0.00,     inf,    inf,     5.250,   18.00,   39.14,   7.45
           11,      5.750,    9.71,   79.47,  13.82,      2.875,    0.00,     inf,    inf,     5.750,   19.31,   39.96,   6.95
           12,      6.250,    9.89,   84.86,  13.58,      3.125,    0.00,     inf,    inf,     6.250,   20.64,   40.64,   6.50
           13,      6.750,   10.16,   89.21,  13.22,      3.375,    0.00,     inf,    inf,     6.750,   21.91,   41.35,   6.13
           14,      7.250,   10.40,   93.60,  12.91,      3.625,    0.00,     inf,    inf,     7.250,   23.28,   41.79,   5.76
           15,      7.750,   10.60,   98.12,  12.66,      3.875,    0.00,     inf,    inf,     7.750,   24.53,   42.40,   5.47
           16,      8.250,   10.85,  102.07,  12.37,      4.125,    0.00,     inf,    inf,     8.250,   25.83,   42.87,   5.20
           17,      8.750,   23.40,   50.18,   5.73,      4.375,    0.00,     inf,    inf,     8.750,   32.84,   35.76,   4.09
           18,      9.250,   23.57,   52.67,   5.69,      4.625,    0.00,     inf,    inf,     9.250,   33.91,   36.61,   3.96
           20,     10.250,   23.96,   57.43,   5.60,      5.125,    0.00,     inf,    inf,    10.250,   35.95,   38.26,   3.73
           22,     11.250,   24.34,   62.04,   5.51,      5.625,    0.00,     inf,    inf,    11.250,   37.80,   39.95,   3.55
           24,     12.250,   24.71,   66.53,   5.43,      6.125,    0.00,     inf,    inf,    12.250,   39.64,   41.48,   3.39
           28,     14.250,   25.54,   74.89,   5.26,      7.125,    0.00,     inf,    inf,    14.250,   43.46,   44.01,   3.09
           32,     16.250,   26.37,   82.70,   5.09,      8.125,    0.00,     inf,    inf,    16.250,   47.61,   45.81,   2.82
           40,     20.250,   28.05,   96.89,   4.78,     10.125,    0.00,     inf,    inf,    20.250,   56.18,   48.38,   2.39
           48,     24.250,   29.61,  109.93,   4.53,     12.125,    0.00,     inf,    inf,    24.250,   63.80,   51.01,   2.10
           56,     28.250,   31.29,  121.18,   4.29,     14.125,    0.00,     inf,    inf,    28.250,   72.33,   52.42,   1.86
           64,     32.250,  122.93,   35.21,   1.09,     16.125,    0.00,     inf,    inf,    32.250,  193.46,   22.37,   0.69
           80,     40.250,  147.33,   36.67,   0.91,     20.125,    0.00,     inf,    inf,    40.250,  238.85,   22.62,   0.56
           96,     48.250,  171.58,   37.74,   0.78,     24.125,    0.00,     inf,    inf,    48.250,  283.89,   22.81,   0.47
          128,     64.250,  220.53,   39.10,   0.61,     32.125,    0.00,     inf,    inf,    64.250,  374.49,   23.03,   0.36
          192,     96.250,  318.35,   40.58,   0.42,     48.125,    0.00,     inf,    inf,    96.250,  555.29,   23.26,   0.24
          256,    128.250,  416.27,   41.35,   0.32,     64.125,    0.00,     inf,    inf,   128.250,  736.07,   23.39,   0.18
------------------------------------------------------------------------------------------------------------------------------
